Entity: Viet Nam
Year: 2000 | Value: 6.78731640463151
Year: 2001 | Value: 6.19289331233377
Year: 2002 | Value: 6.32082099160833
Year: 2003 | Value: 6.89906349055258
Year: 2004 | Value: 7.53641060890386
Year: 2005 | Value: 7.54724772895918
Year: 2006 | Value: 6.97795481056711
Year: 2007 | Value: 7.12950448605439
Year: 2008 | Value: 5.66177120891362
Year: 2009 | Value: 5.39789754014181
Year: 2010 | Value: 6.42324482239482
Year: 2011 | Value: 6.41316889681683
Year: 2012 | Value: 5.5045447041189
Year: 2013 | Value: 5.55351081026072
Year: 2014 | Value: 6.42224312118567
Year: 2015 | Value: 6.98715430598611
Year: 2016 | Value: 6.69000892660424
Year: 2017 | Value: 6.94019037359206
Year: 2018 | Value: 7.46500685572751
Year: 2019 | Value: 7.35926270105006
Year: 2020 | Value: 2.86541320912272
Year: 2021 | Value: 2.55372852648131
Year: 2022 | Value: 8.53750046755788
