指标,年份,数值
病床 A系列 (3),2024,4.9
病床 A系列 (3),2023,4.9
病床 A系列 (3),2022,4.9
病床 A系列 (3),2021,4.9
病床 A系列 (3),2020,4.8
病床 A系列 (3),2019,4.7
病床 A系列 (3),2018,4.6
病床 A系列 (3),2017,4.6
病床 A系列 (3),2016,4.5
病床 A系列 (3),2015,4.5
B系列 (4),2024,4.3
B系列 (4),2023,4.3
B系列 (4),2022,4.3
B系列 (4),2021,4.3
B系列 (4),2020,4.2
B系列 (4),2019,4.2
B系列 (4),2018,4.1
B系列 (4),2017,4.1
B系列 (4),2016,4.0
B系列 (4),2015,4.0
