Entity: Mexico
Year: 2000 | Value: 90.5400009155273
Year: 2002 | Value: 90.2699966430664
Year: 2004 | Value: 90.9499969482422
Year: 2005 | Value: 91.629997253418
Year: 2006 | Value: 91.7300033569336
Year: 2007 | Value: 92.8000030517578
Year: 2008 | Value: 92.9300003051758
Year: 2009 | Value: 93.4400024414062
Year: 2010 | Value: 93.0699996948242
Year: 2011 | Value: 93.5199966430664
Year: 2012 | Value: 94.2300033569336
Year: 2013 | Value: 93.9599990844727
Year: 2014 | Value: 94.5599975585938
Year: 2015 | Value: 94.4700012207031
Year: 2016 | Value: 94.8600006103516
Year: 2017 | Value: 94.9700012207031
Year: 2018 | Value: 95.379997253418
Year: 2019 | Value: 95.3889403219417
Year: 2020 | Value: 95.25
Year: 2021 | Value: 95.6890981310362
Year: 2022 | Value: 95.8486603965766
