Entity: Colombia
Year: 2004 | Value: 92.8000030517578
Year: 2005 | Value: 92.8499984741211
Year: 2006 | Value: 92.3000030517578
Year: 2007 | Value: 92.6500015258789
Year: 2008 | Value: 93.379997253418
Year: 2009 | Value: 93.2399978637695
Year: 2010 | Value: 93.370002746582
Year: 2011 | Value: 93.5800018310547
Year: 2014 | Value: 94.1900024414062
Year: 2015 | Value: 94.25
Year: 2016 | Value: 94.6500015258789
Year: 2017 | Value: 94.8927138785262
Year: 2018 | Value: 95.0899963378906
Year: 2019 | Value: 95.25
Year: 2020 | Value: 95.6399993896484
Year: 2021 | Value: 95.666552016916
Year: 2022 | Value: 95.3138834471897
