Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,AFG,Life expectancy at birth (years),WHOSIS_000001,53.82332641,53.91018761,55.15447775,56.08520691,56.47652053,56.79050349,56.992143,57.2548387,57.9008556,58.52946588,59.00377167,59.54863714,59.92210578,60.43497705,60.42859204,60.32951348,60.39366208,60.8752198,60.48797975,61.22381311,60.49099642,59.12690224
,AFR,Life expectancy at birth (years),WHOSIS_000001,52.98151168,53.46919051,53.8387504,54.27104176,54.8859284,55.63713976,56.4398241,57.29451181,58.09440209,58.84133306,59.57096304,60.26246615,60.93267407,61.51649833,61.97191179,62.45046693,62.92447284,63.36220568,63.77580177,64.16988115,63.96143556,63.55243899
Angola,AGO,Life expectancy at birth (years),WHOSIS_000001,49.36774351,50.06036648,51.05750193,51.74053195,52.3558271,53.34585395,54.27926946,55.35489997,56.22016209,57.07394875,57.96461105,58.75334146,59.46233734,60.21682799,61.13534716,61.59307464,61.84956314,62.03682911,62.27158067,62.49147407,62.64827403,62.13113467
Albania,ALB,Life expectancy at birth (years),WHOSIS_000001,73.68285742,76.04202157,75.48885772,74.94215534,75.42557931,74.20683098,74.22366059,74.53678554,74.9883157,75.55770059,76.21290189,76.61868023,77.34194982,77.77410839,78.01445206,77.76638448,77.87870915,77.91038596,77.93851855,77.9406744,76.53104591,76.39089034
,AMR,Life expectancy at birth (years),WHOSIS_000001,74.0865499,74.30398059,74.50152763,74.69714507,75.07444467,75.28865511,75.62335043,75.82834415,75.93790985,76.16933635,75.79804084,76.46212795,76.62675954,76.73116014,76.83106727,76.79070798,76.70935415,76.8394961,76.98308457,77.07402622,75.0691549,74.11268797
United Arab Emirates,ARE,Life expectancy at birth (years),WHOSIS_000001,78.11838329,78.27568092,78.35124382,78.5604186,78.88949949,79.38497277,80.09096187,80.5952165,80.7993244,80.73659279,80.45344335,80.25767057,80.30618497,80.56393138,80.64754288,80.71356774,80.78348374,80.92702059,81.16639668,81.41096307,80.1312721,78.30645695
Argentina,ARG,Life expectancy at birth (years),WHOSIS_000001,74.28695107,74.27061688,74.2583112,74.25492535,74.90566583,75.25530861,75.5327089,75.05610078,75.69496821,75.85194237,75.76938267,75.94927296,76.1760553,76.20888199,76.51452536,76.5300965,76.12474817,76.64354126,76.88825006,77.01582731,76.22884718,74.56898059
Armenia,ARM,Life expectancy at birth (years),WHOSIS_000001,71.62172824,71.79061149,71.58333169,71.70802942,72.03083518,72.0754129,72.0117653,72.53070418,72.48685716,72.73278531,73.01384261,73.30611739,73.66922093,74.18785118,74.19757704,74.27859114,74.40594896,75.18435169,75.62030513,75.66635568,69.32859192,72.98458202
Antigua and Barbuda,ATG,Life expectancy at birth (years),WHOSIS_000001,74.39228457,74.69656338,74.99067045,75.21279447,75.37748429,75.53604558,75.54507792,74.95910853,75.05552794,75.51285045,75.57823922,75.62067241,75.66312684,75.71757904,75.59206584,75.61540401,75.54812509,75.565575,75.62352245,75.65878463,77.61326031,76.91527032
Australia,AUS,Life expectancy at birth (years),WHOSIS_000001,79.69831946,80.12984228,80.19005718,80.56634063,80.75565777,80.84134964,81.04245453,81.37282665,81.32192176,81.75260531,81.91408232,81.93172968,82.27247326,82.46342447,82.36885018,82.287472,82.59341791,82.67971308,83.02313357,82.64234014,83.36758916,83.10183853
Austria,AUT,Life expectancy at birth (years),WHOSIS_000001,78.17598734,78.64264138,78.70354232,78.62740132,79.11359324,79.32619587,79.80520182,80.0322621,80.26667316,80.12103248,80.39157197,80.73795859,80.71875852,80.91227276,81.23527679,80.98621911,81.38820091,81.38857295,81.42361625,81.64847998,81.08512036,80.99297519
Azerbaijan,AZE,Life expectancy at birth (years),WHOSIS_000001,65.23458004,66.31096148,66.7152002,66.74212235,67.38631087,67.44595807,67.63797731,69.26431968,68.71279885,69.37470529,69.81386619,70.38906117,71.2113018,72.08992478,72.71925019,73.62700051,73.96997105,74.6254737,75.13145241,75.79966602,71.43112767,72.9129401
Burundi,BDI,Life expectancy at birth (years),WHOSIS_000001,44.3609182,45.560229,46.77202104,47.93043118,49.43158352,50.9090504,54.95514765,56.45412415,57.79081906,58.71584557,59.59915923,60.40539714,61.17471181,61.79608792,62.32268744,62.7069542,63.24117705,63.68241574,64.02759286,64.3185906,64.59433751,64.00694993
Belgium,BEL,Life expectancy at birth (years),WHOSIS_000001,77.67190502,77.97358091,78.01455674,78.11449295,78.79615664,78.85239236,79.23388393,79.56569667,79.56481171,79.82665275,79.84805119,80.16687766,80.07118579,80.32474948,80.94130643,80.70631194,81.07460591,81.1512532,81.2494226,81.60895006,80.77564866,81.5059627
Benin,BEN,Life expectancy at birth (years),WHOSIS_000001,57.42109531,57.74456271,58.09380517,58.45855402,58.86876901,59.21023989,59.54016851,59.82688455,60.45115465,60.99409615,61.3045144,61.56618181,61.81459199,62.11743236,62.37267295,62.62662,63.0021663,63.34863103,63.73859672,64.13827469,64.40363479,64.01268515
Burkina Faso,BFA,Life expectancy at birth (years),WHOSIS_000001,51.8877146,52.3617692,52.90685822,53.57987835,54.3424593,55.19811279,55.97968949,56.71279625,57.43072999,58.06655977,58.61217661,59.07175267,59.51806294,59.96461158,60.46448541,60.94298433,61.35518157,61.8809308,62.36096547,62.61228276,62.92621842,62.29728841
Bangladesh,BGD,Life expectancy at birth (years),WHOSIS_000001,65.36178128,65.95954098,66.35390682,66.7835174,67.36950715,67.78759761,68.09324389,68.42856138,69.03267464,69.60483119,70.06425679,71.08337441,72.09310158,72.59072924,72.77669075,73.19207211,73.44362068,73.37868377,73.67380343,73.94958231,73.29812993,73.10251672
Bulgaria,BGR,Life expectancy at birth (years),WHOSIS_000001,71.6428836,71.85118008,72.11466914,72.29415331,72.48173145,72.47648279,72.62332365,72.92323217,73.24591413,73.57651207,73.66597105,74.07018001,74.28202002,74.79512219,74.40807537,74.56358707,74.77317639,74.71989724,74.85071858,75.0010583,73.48961137,71.30586
Bahrain,BHR,Life expectancy at birth (years),WHOSIS_000001,69.68563925,70.36971635,70.59694491,70.65076259,70.9253368,71.32084892,71.69627417,72.38722676,72.89097198,73.40666919,73.86198294,74.19533253,74.57322126,75.02710867,75.64496177,75.75082454,75.65906707,75.71095601,75.93620907,76.02945447,74.85398109,74.38371772
Bahamas,BHS,Life expectancy at birth (years),WHOSIS_000001,70.96744554,71.11367814,71.58107452,72.01356703,72.14409998,72.65880067,72.66353382,73.08736276,72.97662842,72.80785073,72.74533372,72.74543627,72.84562635,73.00901267,72.64786335,72.92357543,72.949178,73.21936648,73.38286364,70.73776422,72.61586296,70.43274063
Bosnia and Herzegovina,BIH,Life expectancy at birth (years),WHOSIS_000001,75.4599475,75.85448253,76.09726725,76.3852253,76.62934847,76.54879498,76.79616301,76.26128187,76.76846848,76.7825838,76.98324032,77.05795229,77.27133436,77.21186094,77.17772515,76.9957646,77.13183233,77.24910311,77.32123917,77.09808482,75.70792926,74.84944487
Belarus,BLR,Life expectancy at birth (years),WHOSIS_000001,68.79296699,68.38068954,67.90677805,68.37573872,68.80163482,68.69743153,69.30529977,70.20054242,70.33830973,70.47736788,70.35076033,70.57181476,72.11133932,72.59208184,73.15346125,73.73950531,73.8924593,74.22729868,74.34647413,74.8186819,73.01027649,73.12324771
Belize,BLZ,Life expectancy at birth (years),WHOSIS_000001,70.09513226,70.61498891,71.34369042,71.80038956,72.03089544,72.3988756,72.62147619,73.05180238,73.53821496,73.6700987,73.60567774,73.84911498,74.18063851,74.31081667,74.2195742,74.30568158,74.39638983,74.56128899,74.57665716,74.86586064,74.69437572,73.32055336
Bolivia (Plurinational State of),BOL,Life expectancy at birth (years),WHOSIS_000001,66.09385895,66.7449711,67.18430642,67.7351254,68.28111683,68.73158288,69.1623043,69.47053335,69.78566323,70.13714581,70.42881387,70.72011626,71.0361986,71.33805685,71.64868401,71.94895895,72.22076039,72.44784311,72.69070111,72.91976198,67.11714577,65.41062535
Brazil,BRA,Life expectancy at birth (years),WHOSIS_000001,71.4995438,71.80355904,72.03662703,72.30491342,72.50201054,73.14791265,73.33073271,73.5789865,73.71397618,73.8424263,73.92337469,74.01518436,74.28196582,74.42169527,74.63621389,74.711289,74.56188231,74.98912241,75.31944699,75.47815778,74.11393563,72.38840694
Barbados,BRB,Life expectancy at birth (years),WHOSIS_000001,74.60503157,75.05768919,74.85759375,74.55086448,74.61548026,74.96322109,75.05596421,75.24398474,75.50932099,75.90513677,75.95734033,76.02367426,76.23035481,76.24143589,76.24311034,76.29023437,76.32461251,76.33626177,76.28319327,76.03984637,76.9491323,76.8418344
Brunei Darussalam,BRN,Life expectancy at birth (years),WHOSIS_000001,75.50502993,75.6811134,75.90522385,76.10651217,76.2980122,76.47714892,76.58480393,76.66441769,76.7179356,76.87788068,76.97095289,76.98951902,76.89700471,76.81966837,76.65808603,76.55761257,76.41822612,76.40513341,76.40808264,76.67529662,76.76421584,76.92260844
Bhutan,BTN,Life expectancy at birth (years),WHOSIS_000001,65.98956136,67.18030943,67.84566543,68.38453582,68.88514264,69.36895355,69.95563044,70.47630807,70.90903814,71.27007127,71.72710313,72.1269544,72.45535288,72.72164626,72.91360226,73.07489389,73.28424565,73.54716542,73.75301201,73.93027807,74.45119684,74.87642848
