Record: Zimbabwe (ZWE), indicator=Maternal_Mortality_Ratio
Zimbabwe observed maternal_mortality_year2000=405 per 100,000 live births.
Zimbabwe observed maternal_mortality_year2001=467 per 100,000 live births.
Zimbabwe observed maternal_mortality_year2002=418 per 100,000 live births.
Zimbabwe observed maternal_mortality_year2003=455 per 100,000 live births.
Zimbabwe observed maternal_mortality_year2004=451 per 100,000 live births.
Zimbabwe observed maternal_mortality_year2005=454 per 100,000 live births.
Zimbabwe observed maternal_mortality_year2006=480 per 100,000 live births.
Zimbabwe observed maternal_mortality_year2007=519 per 100,000 live births.
Zimbabwe observed maternal_mortality_year2008=526 per 100,000 live births.
Zimbabwe observed maternal_mortality_year2009=540 per 100,000 live births.
Zimbabwe observed maternal_mortality_year2010=567 per 100,000 live births.
Zimbabwe observed maternal_mortality_year2011=564 per 100,000 live births.
Zimbabwe observed maternal_mortality_year2012=558 per 100,000 live births.
Zimbabwe observed maternal_mortality_year2013=525 per 100,000 live births.
Zimbabwe observed maternal_mortality_year2014=468 per 100,000 live births.
Zimbabwe observed maternal_mortality_year2015=428 per 100,000 live births.
Zimbabwe observed maternal_mortality_year2016=411 per 100,000 live births.
Zimbabwe observed maternal_mortality_year2017=389 per 100,000 live births.
Zimbabwe observed maternal_mortality_year2018=386 per 100,000 live births.
Zimbabwe observed maternal_mortality_year2019=388 per 100,000 live births.
Zimbabwe observed maternal_mortality_year2020=380 per 100,000 live births.
Zimbabwe observed maternal_mortality_year2021=446 per 100,000 live births.
