Record: Romania (ROU), indicator=Maternal_Mortality_Ratio
Romania observed maternal_mortality_year2000=45 per 100,000 live births.
Romania observed maternal_mortality_year2001=41 per 100,000 live births.
Romania observed maternal_mortality_year2002=38 per 100,000 live births.
Romania observed maternal_mortality_year2003=35 per 100,000 live births.
Romania observed maternal_mortality_year2004=32 per 100,000 live births.
Romania observed maternal_mortality_year2005=30 per 100,000 live births.
Romania observed maternal_mortality_year2006=27 per 100,000 live births.
Romania observed maternal_mortality_year2007=25 per 100,000 live births.
Romania observed maternal_mortality_year2008=25 per 100,000 live births.
Romania observed maternal_mortality_year2009=25 per 100,000 live births.
Romania observed maternal_mortality_year2010=23 per 100,000 live births.
Romania observed maternal_mortality_year2011=20 per 100,000 live births.
Romania observed maternal_mortality_year2012=19 per 100,000 live births.
Romania observed maternal_mortality_year2013=18 per 100,000 live births.
Romania observed maternal_mortality_year2014=18 per 100,000 live births.
Romania observed maternal_mortality_year2015=18 per 100,000 live births.
Romania observed maternal_mortality_year2016=17 per 100,000 live births.
Romania observed maternal_mortality_year2017=17 per 100,000 live births.
Romania observed maternal_mortality_year2018=15 per 100,000 live births.
Romania observed maternal_mortality_year2019=14 per 100,000 live births.
Romania observed maternal_mortality_year2020=16 per 100,000 live births.
Romania observed maternal_mortality_year2021=20 per 100,000 live births.
