Record: Central Europe and the Baltics (CEB), indicator=Maternal_Mortality_Ratio
Central Europe and the Baltics observed maternal_mortality_year2000=18 per 100,000 live births.
Central Europe and the Baltics observed maternal_mortality_year2001=16 per 100,000 live births.
Central Europe and the Baltics observed maternal_mortality_year2002=15 per 100,000 live births.
Central Europe and the Baltics observed maternal_mortality_year2003=14 per 100,000 live births.
Central Europe and the Baltics observed maternal_mortality_year2004=13 per 100,000 live births.
Central Europe and the Baltics observed maternal_mortality_year2005=12 per 100,000 live births.
Central Europe and the Baltics observed maternal_mortality_year2006=11 per 100,000 live births.
Central Europe and the Baltics observed maternal_mortality_year2007=11 per 100,000 live births.
Central Europe and the Baltics observed maternal_mortality_year2008=10 per 100,000 live births.
Central Europe and the Baltics observed maternal_mortality_year2009=10 per 100,000 live births.
Central Europe and the Baltics observed maternal_mortality_year2010=9 per 100,000 live births.
Central Europe and the Baltics observed maternal_mortality_year2011=8 per 100,000 live births.
Central Europe and the Baltics observed maternal_mortality_year2012=8 per 100,000 live births.
Central Europe and the Baltics observed maternal_mortality_year2013=8 per 100,000 live births.
Central Europe and the Baltics observed maternal_mortality_year2014=8 per 100,000 live births.
Central Europe and the Baltics observed maternal_mortality_year2015=8 per 100,000 live births.
Central Europe and the Baltics observed maternal_mortality_year2016=7 per 100,000 live births.
Central Europe and the Baltics observed maternal_mortality_year2017=7 per 100,000 live births.
Central Europe and the Baltics observed maternal_mortality_year2018=7 per 100,000 live births.
Central Europe and the Baltics observed maternal_mortality_year2019=7 per 100,000 live births.
Central Europe and the Baltics observed maternal_mortality_year2020=8 per 100,000 live births.
Central Europe and the Baltics observed maternal_mortality_year2021=11 per 100,000 live births.
