Record: United Kingdom (GBR), indicator=Maternal_Mortality_Ratio
United Kingdom observed maternal_mortality_year2000=12 per 100,000 live births.
United Kingdom observed maternal_mortality_year2001=13 per 100,000 live births.
United Kingdom observed maternal_mortality_year2002=13 per 100,000 live births.
United Kingdom observed maternal_mortality_year2003=14 per 100,000 live births.
United Kingdom observed maternal_mortality_year2004=13 per 100,000 live births.
United Kingdom observed maternal_mortality_year2005=12 per 100,000 live births.
United Kingdom observed maternal_mortality_year2006=12 per 100,000 live births.
United Kingdom observed maternal_mortality_year2007=11 per 100,000 live births.
United Kingdom observed maternal_mortality_year2008=11 per 100,000 live births.
United Kingdom observed maternal_mortality_year2009=11 per 100,000 live births.
United Kingdom observed maternal_mortality_year2010=10 per 100,000 live births.
United Kingdom observed maternal_mortality_year2011=10 per 100,000 live births.
United Kingdom observed maternal_mortality_year2012=9 per 100,000 live births.
United Kingdom observed maternal_mortality_year2013=9 per 100,000 live births.
United Kingdom observed maternal_mortality_year2014=9 per 100,000 live births.
United Kingdom observed maternal_mortality_year2015=9 per 100,000 live births.
United Kingdom observed maternal_mortality_year2016=9 per 100,000 live births.
United Kingdom observed maternal_mortality_year2017=9 per 100,000 live births.
United Kingdom observed maternal_mortality_year2018=9 per 100,000 live births.
United Kingdom observed maternal_mortality_year2019=9 per 100,000 live births.
United Kingdom observed maternal_mortality_year2020=14 per 100,000 live births.
United Kingdom observed maternal_mortality_year2021=13 per 100,000 live births.
