Record: Arab World (ARB), indicator=Maternal_Mortality_Ratio
Arab World observed maternal_mortality_year2000=245 per 100,000 live births.
Arab World observed maternal_mortality_year2001=237 per 100,000 live births.
Arab World observed maternal_mortality_year2002=229 per 100,000 live births.
Arab World observed maternal_mortality_year2003=226 per 100,000 live births.
Arab World observed maternal_mortality_year2004=215 per 100,000 live births.
Arab World observed maternal_mortality_year2005=206 per 100,000 live births.
Arab World observed maternal_mortality_year2006=200 per 100,000 live births.
Arab World observed maternal_mortality_year2007=189 per 100,000 live births.
Arab World observed maternal_mortality_year2008=181 per 100,000 live births.
Arab World observed maternal_mortality_year2009=170 per 100,000 live births.
Arab World observed maternal_mortality_year2010=170 per 100,000 live births.
Arab World observed maternal_mortality_year2011=161 per 100,000 live births.
Arab World observed maternal_mortality_year2012=150 per 100,000 live births.
Arab World observed maternal_mortality_year2013=145 per 100,000 live births.
Arab World observed maternal_mortality_year2014=140 per 100,000 live births.
Arab World observed maternal_mortality_year2015=137 per 100,000 live births.
Arab World observed maternal_mortality_year2016=135 per 100,000 live births.
Arab World observed maternal_mortality_year2017=133 per 100,000 live births.
Arab World observed maternal_mortality_year2018=134 per 100,000 live births.
Arab World observed maternal_mortality_year2019=130 per 100,000 live births.
Arab World observed maternal_mortality_year2020=138 per 100,000 live births.
Arab World observed maternal_mortality_year2021=158 per 100,000 live births.
