Record: Botswana (BWA), indicator=Maternal_Mortality_Ratio
Botswana observed maternal_mortality_year2000=136 per 100,000 live births.
Botswana observed maternal_mortality_year2001=138 per 100,000 live births.
Botswana observed maternal_mortality_year2002=140 per 100,000 live births.
Botswana observed maternal_mortality_year2003=142 per 100,000 live births.
Botswana observed maternal_mortality_year2004=151 per 100,000 live births.
Botswana observed maternal_mortality_year2005=166 per 100,000 live births.
Botswana observed maternal_mortality_year2006=204 per 100,000 live births.
Botswana observed maternal_mortality_year2007=201 per 100,000 live births.
Botswana observed maternal_mortality_year2008=199 per 100,000 live births.
Botswana observed maternal_mortality_year2009=213 per 100,000 live births.
Botswana observed maternal_mortality_year2010=228 per 100,000 live births.
Botswana observed maternal_mortality_year2011=269 per 100,000 live births.
Botswana observed maternal_mortality_year2012=288 per 100,000 live births.
Botswana observed maternal_mortality_year2013=221 per 100,000 live births.
Botswana observed maternal_mortality_year2014=212 per 100,000 live births.
Botswana observed maternal_mortality_year2015=141 per 100,000 live births.
Botswana observed maternal_mortality_year2016=72 per 100,000 live births.
Botswana observed maternal_mortality_year2017=46 per 100,000 live births.
Botswana observed maternal_mortality_year2018=99 per 100,000 live births.
Botswana observed maternal_mortality_year2019=100 per 100,000 live births.
Botswana observed maternal_mortality_year2020=98 per 100,000 live births.
Botswana observed maternal_mortality_year2021=165 per 100,000 live births.
