Record: Low & middle income (LMY), indicator=Maternal_Mortality_Ratio
Low & middle income observed maternal_mortality_year2000=347 per 100,000 live births.
Low & middle income observed maternal_mortality_year2001=340 per 100,000 live births.
Low & middle income observed maternal_mortality_year2002=329 per 100,000 live births.
Low & middle income observed maternal_mortality_year2003=318 per 100,000 live births.
Low & middle income observed maternal_mortality_year2004=308 per 100,000 live births.
Low & middle income observed maternal_mortality_year2005=298 per 100,000 live births.
Low & middle income observed maternal_mortality_year2006=292 per 100,000 live births.
Low & middle income observed maternal_mortality_year2007=285 per 100,000 live births.
Low & middle income observed maternal_mortality_year2008=280 per 100,000 live births.
Low & middle income observed maternal_mortality_year2009=274 per 100,000 live births.
Low & middle income observed maternal_mortality_year2010=268 per 100,000 live births.
Low & middle income observed maternal_mortality_year2011=261 per 100,000 live births.
Low & middle income observed maternal_mortality_year2012=252 per 100,000 live births.
Low & middle income observed maternal_mortality_year2013=249 per 100,000 live births.
Low & middle income observed maternal_mortality_year2014=245 per 100,000 live births.
Low & middle income observed maternal_mortality_year2015=242 per 100,000 live births.
Low & middle income observed maternal_mortality_year2016=233 per 100,000 live births.
Low & middle income observed maternal_mortality_year2017=227 per 100,000 live births.
Low & middle income observed maternal_mortality_year2018=222 per 100,000 live births.
Low & middle income observed maternal_mortality_year2019=218 per 100,000 live births.
Low & middle income observed maternal_mortality_year2020=221 per 100,000 live births.
Low & middle income observed maternal_mortality_year2021=251 per 100,000 live births.
