Record: Cameroon (CMR), indicator=Maternal_Mortality_Ratio
Cameroon observed maternal_mortality_year2000=678 per 100,000 live births.
Cameroon observed maternal_mortality_year2001=672 per 100,000 live births.
Cameroon observed maternal_mortality_year2002=658 per 100,000 live births.
Cameroon observed maternal_mortality_year2003=645 per 100,000 live births.
Cameroon observed maternal_mortality_year2004=633 per 100,000 live births.
Cameroon observed maternal_mortality_year2005=629 per 100,000 live births.
Cameroon observed maternal_mortality_year2006=615 per 100,000 live births.
Cameroon observed maternal_mortality_year2007=605 per 100,000 live births.
Cameroon observed maternal_mortality_year2008=592 per 100,000 live births.
Cameroon observed maternal_mortality_year2009=579 per 100,000 live births.
Cameroon observed maternal_mortality_year2010=562 per 100,000 live births.
Cameroon observed maternal_mortality_year2011=541 per 100,000 live births.
Cameroon observed maternal_mortality_year2012=500 per 100,000 live births.
Cameroon observed maternal_mortality_year2013=469 per 100,000 live births.
Cameroon observed maternal_mortality_year2014=440 per 100,000 live births.
Cameroon observed maternal_mortality_year2015=417 per 100,000 live births.
Cameroon observed maternal_mortality_year2016=393 per 100,000 live births.
Cameroon observed maternal_mortality_year2017=372 per 100,000 live births.
Cameroon observed maternal_mortality_year2018=354 per 100,000 live births.
Cameroon observed maternal_mortality_year2019=336 per 100,000 live births.
Cameroon observed maternal_mortality_year2020=316 per 100,000 live births.
Cameroon observed maternal_mortality_year2021=342 per 100,000 live births.
