Record: IBRD only (IBD), indicator=Maternal_Mortality_Ratio
IBRD only observed maternal_mortality_year2000=198 per 100,000 live births.
IBRD only observed maternal_mortality_year2001=194 per 100,000 live births.
IBRD only observed maternal_mortality_year2002=184 per 100,000 live births.
IBRD only observed maternal_mortality_year2003=176 per 100,000 live births.
IBRD only observed maternal_mortality_year2004=168 per 100,000 live births.
IBRD only observed maternal_mortality_year2005=158 per 100,000 live births.
IBRD only observed maternal_mortality_year2006=149 per 100,000 live births.
IBRD only observed maternal_mortality_year2007=140 per 100,000 live births.
IBRD only observed maternal_mortality_year2008=132 per 100,000 live births.
IBRD only observed maternal_mortality_year2009=123 per 100,000 live births.
IBRD only observed maternal_mortality_year2010=115 per 100,000 live births.
IBRD only observed maternal_mortality_year2011=108 per 100,000 live births.
IBRD only observed maternal_mortality_year2012=100 per 100,000 live births.
IBRD only observed maternal_mortality_year2013=94 per 100,000 live births.
IBRD only observed maternal_mortality_year2014=88 per 100,000 live births.
IBRD only observed maternal_mortality_year2015=84 per 100,000 live births.
IBRD only observed maternal_mortality_year2016=80 per 100,000 live births.
IBRD only observed maternal_mortality_year2017=75 per 100,000 live births.
IBRD only observed maternal_mortality_year2018=75 per 100,000 live births.
IBRD only observed maternal_mortality_year2019=73 per 100,000 live births.
IBRD only observed maternal_mortality_year2020=79 per 100,000 live births.
IBRD only observed maternal_mortality_year2021=113 per 100,000 live births.
