Record: Belarus (BLR), indicator=Maternal_Mortality_Ratio
Belarus observed maternal_mortality_year2000=20 per 100,000 live births.
Belarus observed maternal_mortality_year2001=18 per 100,000 live births.
Belarus observed maternal_mortality_year2002=16 per 100,000 live births.
Belarus observed maternal_mortality_year2003=14 per 100,000 live births.
Belarus observed maternal_mortality_year2004=12 per 100,000 live births.
Belarus observed maternal_mortality_year2005=9 per 100,000 live births.
Belarus observed maternal_mortality_year2006=7 per 100,000 live births.
Belarus observed maternal_mortality_year2007=6 per 100,000 live births.
Belarus observed maternal_mortality_year2008=4 per 100,000 live births.
Belarus observed maternal_mortality_year2009=4 per 100,000 live births.
Belarus observed maternal_mortality_year2010=3 per 100,000 live births.
Belarus observed maternal_mortality_year2011=2 per 100,000 live births.
Belarus observed maternal_mortality_year2012=2 per 100,000 live births.
Belarus observed maternal_mortality_year2013=2 per 100,000 live births.
Belarus observed maternal_mortality_year2014=2 per 100,000 live births.
Belarus observed maternal_mortality_year2015=1 per 100,000 live births.
Belarus observed maternal_mortality_year2016=1 per 100,000 live births.
Belarus observed maternal_mortality_year2017=1 per 100,000 live births.
Belarus observed maternal_mortality_year2018=1 per 100,000 live births.
Belarus observed maternal_mortality_year2019=1 per 100,000 live births.
Belarus observed maternal_mortality_year2020=2 per 100,000 live births.
Belarus observed maternal_mortality_year2021=2 per 100,000 live births.
