Record: Uruguay (URY), indicator=Maternal_Mortality_Ratio
Uruguay observed maternal_mortality_year2000=23 per 100,000 live births.
Uruguay observed maternal_mortality_year2001=24 per 100,000 live births.
Uruguay observed maternal_mortality_year2002=23 per 100,000 live births.
Uruguay observed maternal_mortality_year2003=23 per 100,000 live births.
Uruguay observed maternal_mortality_year2004=21 per 100,000 live births.
Uruguay observed maternal_mortality_year2005=20 per 100,000 live births.
Uruguay observed maternal_mortality_year2006=20 per 100,000 live births.
Uruguay observed maternal_mortality_year2007=19 per 100,000 live births.
Uruguay observed maternal_mortality_year2008=19 per 100,000 live births.
Uruguay observed maternal_mortality_year2009=18 per 100,000 live births.
Uruguay observed maternal_mortality_year2010=17 per 100,000 live births.
Uruguay observed maternal_mortality_year2011=17 per 100,000 live births.
Uruguay observed maternal_mortality_year2012=16 per 100,000 live births.
Uruguay observed maternal_mortality_year2013=16 per 100,000 live births.
Uruguay observed maternal_mortality_year2014=16 per 100,000 live births.
Uruguay observed maternal_mortality_year2015=16 per 100,000 live births.
Uruguay observed maternal_mortality_year2016=16 per 100,000 live births.
Uruguay observed maternal_mortality_year2017=16 per 100,000 live births.
Uruguay observed maternal_mortality_year2018=16 per 100,000 live births.
Uruguay observed maternal_mortality_year2019=16 per 100,000 live births.
Uruguay observed maternal_mortality_year2020=20 per 100,000 live births.
Uruguay observed maternal_mortality_year2021=49 per 100,000 live births.
