Record: Uzbekistan (UZB), indicator=Maternal_Mortality_Ratio
Uzbekistan observed maternal_mortality_year2000=42 per 100,000 live births.
Uzbekistan observed maternal_mortality_year2001=42 per 100,000 live births.
Uzbekistan observed maternal_mortality_year2002=41 per 100,000 live births.
Uzbekistan observed maternal_mortality_year2003=40 per 100,000 live births.
Uzbekistan observed maternal_mortality_year2004=39 per 100,000 live births.
Uzbekistan observed maternal_mortality_year2005=39 per 100,000 live births.
Uzbekistan observed maternal_mortality_year2006=38 per 100,000 live births.
Uzbekistan observed maternal_mortality_year2007=37 per 100,000 live births.
Uzbekistan observed maternal_mortality_year2008=35 per 100,000 live births.
Uzbekistan observed maternal_mortality_year2009=34 per 100,000 live births.
Uzbekistan observed maternal_mortality_year2010=34 per 100,000 live births.
Uzbekistan observed maternal_mortality_year2011=33 per 100,000 live births.
Uzbekistan observed maternal_mortality_year2012=33 per 100,000 live births.
Uzbekistan observed maternal_mortality_year2013=32 per 100,000 live births.
Uzbekistan observed maternal_mortality_year2014=32 per 100,000 live births.
Uzbekistan observed maternal_mortality_year2015=31 per 100,000 live births.
Uzbekistan observed maternal_mortality_year2016=31 per 100,000 live births.
Uzbekistan observed maternal_mortality_year2017=30 per 100,000 live births.
Uzbekistan observed maternal_mortality_year2018=29 per 100,000 live births.
Uzbekistan observed maternal_mortality_year2019=29 per 100,000 live births.
Uzbekistan observed maternal_mortality_year2020=29 per 100,000 live births.
Uzbekistan observed maternal_mortality_year2021=28 per 100,000 live births.
