Record: Sub-Saharan Africa (IDA & IBRD countries) (TSS), indicator=Maternal_Mortality_Ratio
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2000=735 per 100,000 live births.
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2001=717 per 100,000 live births.
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2002=699 per 100,000 live births.
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2003=676 per 100,000 live births.
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2004=657 per 100,000 live births.
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2005=649 per 100,000 live births.
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2006=646 per 100,000 live births.
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2007=645 per 100,000 live births.
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2008=646 per 100,000 live births.
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2009=641 per 100,000 live births.
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2010=632 per 100,000 live births.
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2011=620 per 100,000 live births.
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2012=606 per 100,000 live births.
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2013=597 per 100,000 live births.
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2014=589 per 100,000 live births.
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2015=577 per 100,000 live births.
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2016=556 per 100,000 live births.
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2017=535 per 100,000 live births.
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2018=507 per 100,000 live births.
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2019=488 per 100,000 live births.
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2020=465 per 100,000 live births.
Sub-Saharan Africa (IDA & IBRD countries) observed maternal_mortality_year2021=477 per 100,000 live births.
