Record: United Arab Emirates (ARE), indicator=Maternal_Mortality_Ratio
United Arab Emirates observed maternal_mortality_year2000=8 per 100,000 live births.
United Arab Emirates observed maternal_mortality_year2001=7 per 100,000 live births.
United Arab Emirates observed maternal_mortality_year2002=5 per 100,000 live births.
United Arab Emirates observed maternal_mortality_year2003=5 per 100,000 live births.
United Arab Emirates observed maternal_mortality_year2004=4 per 100,000 live births.
United Arab Emirates observed maternal_mortality_year2005=4 per 100,000 live births.
United Arab Emirates observed maternal_mortality_year2006=3 per 100,000 live births.
United Arab Emirates observed maternal_mortality_year2007=3 per 100,000 live births.
United Arab Emirates observed maternal_mortality_year2008=3 per 100,000 live births.
United Arab Emirates observed maternal_mortality_year2009=3 per 100,000 live births.
United Arab Emirates observed maternal_mortality_year2010=3 per 100,000 live births.
United Arab Emirates observed maternal_mortality_year2011=4 per 100,000 live births.
United Arab Emirates observed maternal_mortality_year2012=4 per 100,000 live births.
United Arab Emirates observed maternal_mortality_year2013=4 per 100,000 live births.
United Arab Emirates observed maternal_mortality_year2014=3 per 100,000 live births.
United Arab Emirates observed maternal_mortality_year2015=3 per 100,000 live births.
United Arab Emirates observed maternal_mortality_year2016=3 per 100,000 live births.
United Arab Emirates observed maternal_mortality_year2017=3 per 100,000 live births.
United Arab Emirates observed maternal_mortality_year2018=3 per 100,000 live births.
United Arab Emirates observed maternal_mortality_year2019=3 per 100,000 live births.
United Arab Emirates observed maternal_mortality_year2020=6 per 100,000 live births.
United Arab Emirates observed maternal_mortality_year2021=6 per 100,000 live births.
