Record: Thailand (THA), indicator=Maternal_Mortality_Ratio
Thailand observed maternal_mortality_year2000=49 per 100,000 live births.
Thailand observed maternal_mortality_year2001=47 per 100,000 live births.
Thailand observed maternal_mortality_year2002=44 per 100,000 live births.
Thailand observed maternal_mortality_year2003=42 per 100,000 live births.
Thailand observed maternal_mortality_year2004=44 per 100,000 live births.
Thailand observed maternal_mortality_year2005=40 per 100,000 live births.
Thailand observed maternal_mortality_year2006=38 per 100,000 live births.
Thailand observed maternal_mortality_year2007=38 per 100,000 live births.
Thailand observed maternal_mortality_year2008=37 per 100,000 live births.
Thailand observed maternal_mortality_year2009=37 per 100,000 live births.
Thailand observed maternal_mortality_year2010=37 per 100,000 live births.
Thailand observed maternal_mortality_year2011=37 per 100,000 live births.
Thailand observed maternal_mortality_year2012=36 per 100,000 live births.
Thailand observed maternal_mortality_year2013=35 per 100,000 live births.
Thailand observed maternal_mortality_year2014=34 per 100,000 live births.
Thailand observed maternal_mortality_year2015=34 per 100,000 live births.
Thailand observed maternal_mortality_year2016=34 per 100,000 live births.
Thailand observed maternal_mortality_year2017=34 per 100,000 live births.
Thailand observed maternal_mortality_year2018=34 per 100,000 live births.
Thailand observed maternal_mortality_year2019=34 per 100,000 live births.
Thailand observed maternal_mortality_year2020=36 per 100,000 live births.
Thailand observed maternal_mortality_year2021=38 per 100,000 live births.
