Record: Europe & Central Asia (ECS), indicator=Maternal_Mortality_Ratio
Europe & Central Asia observed maternal_mortality_year2000=25 per 100,000 live births.
Europe & Central Asia observed maternal_mortality_year2001=24 per 100,000 live births.
Europe & Central Asia observed maternal_mortality_year2002=24 per 100,000 live births.
Europe & Central Asia observed maternal_mortality_year2003=23 per 100,000 live births.
Europe & Central Asia observed maternal_mortality_year2004=22 per 100,000 live births.
Europe & Central Asia observed maternal_mortality_year2005=21 per 100,000 live births.
Europe & Central Asia observed maternal_mortality_year2006=19 per 100,000 live births.
Europe & Central Asia observed maternal_mortality_year2007=19 per 100,000 live births.
Europe & Central Asia observed maternal_mortality_year2008=18 per 100,000 live births.
Europe & Central Asia observed maternal_mortality_year2009=17 per 100,000 live births.
Europe & Central Asia observed maternal_mortality_year2010=16 per 100,000 live births.
Europe & Central Asia observed maternal_mortality_year2011=16 per 100,000 live births.
Europe & Central Asia observed maternal_mortality_year2012=15 per 100,000 live births.
Europe & Central Asia observed maternal_mortality_year2013=14 per 100,000 live births.
Europe & Central Asia observed maternal_mortality_year2014=14 per 100,000 live births.
Europe & Central Asia observed maternal_mortality_year2015=14 per 100,000 live births.
Europe & Central Asia observed maternal_mortality_year2016=13 per 100,000 live births.
Europe & Central Asia observed maternal_mortality_year2017=13 per 100,000 live births.
Europe & Central Asia observed maternal_mortality_year2018=12 per 100,000 live births.
Europe & Central Asia observed maternal_mortality_year2019=12 per 100,000 live births.
Europe & Central Asia observed maternal_mortality_year2020=16 per 100,000 live births.
Europe & Central Asia observed maternal_mortality_year2021=18 per 100,000 live births.
