Record: Moldova (MDA), indicator=Maternal_Mortality_Ratio
Moldova observed maternal_mortality_year2000=38 per 100,000 live births.
Moldova observed maternal_mortality_year2001=35 per 100,000 live births.
Moldova observed maternal_mortality_year2002=31 per 100,000 live births.
Moldova observed maternal_mortality_year2003=29 per 100,000 live births.
Moldova observed maternal_mortality_year2004=28 per 100,000 live births.
Moldova observed maternal_mortality_year2005=26 per 100,000 live births.
Moldova observed maternal_mortality_year2006=25 per 100,000 live births.
Moldova observed maternal_mortality_year2007=24 per 100,000 live births.
Moldova observed maternal_mortality_year2008=23 per 100,000 live births.
Moldova observed maternal_mortality_year2009=22 per 100,000 live births.
Moldova observed maternal_mortality_year2010=20 per 100,000 live births.
Moldova observed maternal_mortality_year2011=19 per 100,000 live births.
Moldova observed maternal_mortality_year2012=19 per 100,000 live births.
Moldova observed maternal_mortality_year2013=19 per 100,000 live births.
Moldova observed maternal_mortality_year2014=20 per 100,000 live births.
Moldova observed maternal_mortality_year2015=20 per 100,000 live births.
Moldova observed maternal_mortality_year2016=21 per 100,000 live births.
Moldova observed maternal_mortality_year2017=20 per 100,000 live births.
Moldova observed maternal_mortality_year2018=20 per 100,000 live births.
Moldova observed maternal_mortality_year2019=21 per 100,000 live births.
Moldova observed maternal_mortality_year2020=29 per 100,000 live births.
Moldova observed maternal_mortality_year2021=24 per 100,000 live births.
