Record: St. Vincent and the Grenadines (VCT), indicator=Maternal_Mortality_Ratio
St. Vincent and the Grenadines observed maternal_mortality_year2000=68 per 100,000 live births.
St. Vincent and the Grenadines observed maternal_mortality_year2001=64 per 100,000 live births.
St. Vincent and the Grenadines observed maternal_mortality_year2002=62 per 100,000 live births.
St. Vincent and the Grenadines observed maternal_mortality_year2003=59 per 100,000 live births.
St. Vincent and the Grenadines observed maternal_mortality_year2004=56 per 100,000 live births.
St. Vincent and the Grenadines observed maternal_mortality_year2005=55 per 100,000 live births.
St. Vincent and the Grenadines observed maternal_mortality_year2006=54 per 100,000 live births.
St. Vincent and the Grenadines observed maternal_mortality_year2007=54 per 100,000 live births.
St. Vincent and the Grenadines observed maternal_mortality_year2008=56 per 100,000 live births.
St. Vincent and the Grenadines observed maternal_mortality_year2009=56 per 100,000 live births.
St. Vincent and the Grenadines observed maternal_mortality_year2010=59 per 100,000 live births.
St. Vincent and the Grenadines observed maternal_mortality_year2011=59 per 100,000 live births.
St. Vincent and the Grenadines observed maternal_mortality_year2012=61 per 100,000 live births.
St. Vincent and the Grenadines observed maternal_mortality_year2013=73 per 100,000 live births.
St. Vincent and the Grenadines observed maternal_mortality_year2014=64 per 100,000 live births.
St. Vincent and the Grenadines observed maternal_mortality_year2015=59 per 100,000 live births.
St. Vincent and the Grenadines observed maternal_mortality_year2016=52 per 100,000 live births.
St. Vincent and the Grenadines observed maternal_mortality_year2017=58 per 100,000 live births.
St. Vincent and the Grenadines observed maternal_mortality_year2018=56 per 100,000 live births.
St. Vincent and the Grenadines observed maternal_mortality_year2019=58 per 100,000 live births.
St. Vincent and the Grenadines observed maternal_mortality_year2020=57 per 100,000 live births.
St. Vincent and the Grenadines observed maternal_mortality_year2021=105 per 100,000 live births.
