Record: Congo, Rep. (COG), indicator=Maternal_Mortality_Ratio
Congo, Rep. observed maternal_mortality_year2000=509 per 100,000 live births.
Congo, Rep. observed maternal_mortality_year2001=489 per 100,000 live births.
Congo, Rep. observed maternal_mortality_year2002=464 per 100,000 live births.
Congo, Rep. observed maternal_mortality_year2003=436 per 100,000 live births.
Congo, Rep. observed maternal_mortality_year2004=400 per 100,000 live births.
Congo, Rep. observed maternal_mortality_year2005=385 per 100,000 live births.
Congo, Rep. observed maternal_mortality_year2006=394 per 100,000 live births.
Congo, Rep. observed maternal_mortality_year2007=370 per 100,000 live births.
Congo, Rep. observed maternal_mortality_year2008=395 per 100,000 live births.
Congo, Rep. observed maternal_mortality_year2009=414 per 100,000 live births.
Congo, Rep. observed maternal_mortality_year2010=382 per 100,000 live births.
Congo, Rep. observed maternal_mortality_year2011=378 per 100,000 live births.
Congo, Rep. observed maternal_mortality_year2012=374 per 100,000 live births.
Congo, Rep. observed maternal_mortality_year2013=320 per 100,000 live births.
Congo, Rep. observed maternal_mortality_year2014=302 per 100,000 live births.
Congo, Rep. observed maternal_mortality_year2015=284 per 100,000 live births.
Congo, Rep. observed maternal_mortality_year2016=263 per 100,000 live births.
Congo, Rep. observed maternal_mortality_year2017=262 per 100,000 live births.
Congo, Rep. observed maternal_mortality_year2018=259 per 100,000 live births.
Congo, Rep. observed maternal_mortality_year2019=245 per 100,000 live births.
Congo, Rep. observed maternal_mortality_year2020=247 per 100,000 live births.
Congo, Rep. observed maternal_mortality_year2021=301 per 100,000 live births.
