Record: China (CHN), indicator=Maternal_Mortality_Ratio
China observed maternal_mortality_year2000=56 per 100,000 live births.
China observed maternal_mortality_year2001=52 per 100,000 live births.
China observed maternal_mortality_year2002=50 per 100,000 live births.
China observed maternal_mortality_year2003=47 per 100,000 live births.
China observed maternal_mortality_year2004=45 per 100,000 live births.
China observed maternal_mortality_year2005=42 per 100,000 live births.
China observed maternal_mortality_year2006=40 per 100,000 live births.
China observed maternal_mortality_year2007=38 per 100,000 live births.
China observed maternal_mortality_year2008=38 per 100,000 live births.
China observed maternal_mortality_year2009=35 per 100,000 live births.
China observed maternal_mortality_year2010=34 per 100,000 live births.
China observed maternal_mortality_year2011=33 per 100,000 live births.
China observed maternal_mortality_year2012=32 per 100,000 live births.
China observed maternal_mortality_year2013=30 per 100,000 live births.
China observed maternal_mortality_year2014=28 per 100,000 live births.
China observed maternal_mortality_year2015=26 per 100,000 live births.
China observed maternal_mortality_year2016=25 per 100,000 live births.
China observed maternal_mortality_year2017=24 per 100,000 live births.
China observed maternal_mortality_year2018=22 per 100,000 live births.
China observed maternal_mortality_year2019=21 per 100,000 live births.
China observed maternal_mortality_year2020=20 per 100,000 live births.
China observed maternal_mortality_year2021=21 per 100,000 live births.
