Record: South Asia (IDA & IBRD) (TSA), indicator=Maternal_Mortality_Ratio
South Asia (IDA & IBRD) observed maternal_mortality_year2000=380 per 100,000 live births.
South Asia (IDA & IBRD) observed maternal_mortality_year2001=365 per 100,000 live births.
South Asia (IDA & IBRD) observed maternal_mortality_year2002=344 per 100,000 live births.
South Asia (IDA & IBRD) observed maternal_mortality_year2003=326 per 100,000 live births.
South Asia (IDA & IBRD) observed maternal_mortality_year2004=307 per 100,000 live births.
South Asia (IDA & IBRD) observed maternal_mortality_year2005=287 per 100,000 live births.
South Asia (IDA & IBRD) observed maternal_mortality_year2006=268 per 100,000 live births.
South Asia (IDA & IBRD) observed maternal_mortality_year2007=250 per 100,000 live births.
South Asia (IDA & IBRD) observed maternal_mortality_year2008=232 per 100,000 live births.
South Asia (IDA & IBRD) observed maternal_mortality_year2009=214 per 100,000 live births.
South Asia (IDA & IBRD) observed maternal_mortality_year2010=198 per 100,000 live births.
South Asia (IDA & IBRD) observed maternal_mortality_year2011=183 per 100,000 live births.
South Asia (IDA & IBRD) observed maternal_mortality_year2012=169 per 100,000 live births.
South Asia (IDA & IBRD) observed maternal_mortality_year2013=158 per 100,000 live births.
South Asia (IDA & IBRD) observed maternal_mortality_year2014=147 per 100,000 live births.
South Asia (IDA & IBRD) observed maternal_mortality_year2015=138 per 100,000 live births.
South Asia (IDA & IBRD) observed maternal_mortality_year2016=129 per 100,000 live births.
South Asia (IDA & IBRD) observed maternal_mortality_year2017=121 per 100,000 live births.
South Asia (IDA & IBRD) observed maternal_mortality_year2018=114 per 100,000 live births.
South Asia (IDA & IBRD) observed maternal_mortality_year2019=108 per 100,000 live births.
South Asia (IDA & IBRD) observed maternal_mortality_year2020=107 per 100,000 live births.
South Asia (IDA & IBRD) observed maternal_mortality_year2021=159 per 100,000 live births.
