Record: South Sudan (SSD), indicator=Maternal_Mortality_Ratio
South Sudan observed maternal_mortality_year2000=1658 per 100,000 live births.
South Sudan observed maternal_mortality_year2001=1580 per 100,000 live births.
South Sudan observed maternal_mortality_year2002=1521 per 100,000 live births.
South Sudan observed maternal_mortality_year2003=1199 per 100,000 live births.
South Sudan observed maternal_mortality_year2004=1150 per 100,000 live births.
South Sudan observed maternal_mortality_year2005=1074 per 100,000 live births.
South Sudan observed maternal_mortality_year2006=1005 per 100,000 live births.
South Sudan observed maternal_mortality_year2007=933 per 100,000 live births.
South Sudan observed maternal_mortality_year2008=858 per 100,000 live births.
South Sudan observed maternal_mortality_year2009=823 per 100,000 live births.
South Sudan observed maternal_mortality_year2010=776 per 100,000 live births.
South Sudan observed maternal_mortality_year2011=770 per 100,000 live births.
South Sudan observed maternal_mortality_year2012=755 per 100,000 live births.
South Sudan observed maternal_mortality_year2013=771 per 100,000 live births.
South Sudan observed maternal_mortality_year2014=1216 per 100,000 live births.
South Sudan observed maternal_mortality_year2015=1436 per 100,000 live births.
South Sudan observed maternal_mortality_year2016=1629 per 100,000 live births.
South Sudan observed maternal_mortality_year2017=1662 per 100,000 live births.
South Sudan observed maternal_mortality_year2018=913 per 100,000 live births.
South Sudan observed maternal_mortality_year2019=745 per 100,000 live births.
South Sudan observed maternal_mortality_year2020=729 per 100,000 live births.
South Sudan observed maternal_mortality_year2021=749 per 100,000 live births.
