Record: Bahamas, The (BHS), indicator=Maternal_Mortality_Ratio
Bahamas, The observed maternal_mortality_year2000=51 per 100,000 live births.
Bahamas, The observed maternal_mortality_year2001=48 per 100,000 live births.
Bahamas, The observed maternal_mortality_year2002=46 per 100,000 live births.
Bahamas, The observed maternal_mortality_year2003=57 per 100,000 live births.
Bahamas, The observed maternal_mortality_year2004=69 per 100,000 live births.
Bahamas, The observed maternal_mortality_year2005=70 per 100,000 live births.
Bahamas, The observed maternal_mortality_year2006=74 per 100,000 live births.
Bahamas, The observed maternal_mortality_year2007=78 per 100,000 live births.
Bahamas, The observed maternal_mortality_year2008=80 per 100,000 live births.
Bahamas, The observed maternal_mortality_year2009=84 per 100,000 live births.
Bahamas, The observed maternal_mortality_year2010=79 per 100,000 live births.
Bahamas, The observed maternal_mortality_year2011=74 per 100,000 live births.
Bahamas, The observed maternal_mortality_year2012=71 per 100,000 live births.
Bahamas, The observed maternal_mortality_year2013=74 per 100,000 live births.
Bahamas, The observed maternal_mortality_year2014=78 per 100,000 live births.
Bahamas, The observed maternal_mortality_year2015=83 per 100,000 live births.
Bahamas, The observed maternal_mortality_year2016=77 per 100,000 live births.
Bahamas, The observed maternal_mortality_year2017=79 per 100,000 live births.
Bahamas, The observed maternal_mortality_year2018=82 per 100,000 live births.
Bahamas, The observed maternal_mortality_year2019=82 per 100,000 live births.
Bahamas, The observed maternal_mortality_year2020=84 per 100,000 live births.
Bahamas, The observed maternal_mortality_year2021=174 per 100,000 live births.
