Record: Indonesia (IDN), indicator=Maternal_Mortality_Ratio
Indonesia observed maternal_mortality_year2000=311 per 100,000 live births.
Indonesia observed maternal_mortality_year2001=300 per 100,000 live births.
Indonesia observed maternal_mortality_year2002=283 per 100,000 live births.
Indonesia observed maternal_mortality_year2003=279 per 100,000 live births.
Indonesia observed maternal_mortality_year2004=283 per 100,000 live births.
Indonesia observed maternal_mortality_year2005=268 per 100,000 live births.
Indonesia observed maternal_mortality_year2006=264 per 100,000 live births.
Indonesia observed maternal_mortality_year2007=257 per 100,000 live births.
Indonesia observed maternal_mortality_year2008=251 per 100,000 live births.
Indonesia observed maternal_mortality_year2009=246 per 100,000 live births.
Indonesia observed maternal_mortality_year2010=242 per 100,000 live births.
Indonesia observed maternal_mortality_year2011=230 per 100,000 live births.
Indonesia observed maternal_mortality_year2012=220 per 100,000 live births.
Indonesia observed maternal_mortality_year2013=208 per 100,000 live births.
Indonesia observed maternal_mortality_year2014=198 per 100,000 live births.
Indonesia observed maternal_mortality_year2015=190 per 100,000 live births.
Indonesia observed maternal_mortality_year2016=182 per 100,000 live births.
Indonesia observed maternal_mortality_year2017=173 per 100,000 live births.
Indonesia observed maternal_mortality_year2018=168 per 100,000 live births.
Indonesia observed maternal_mortality_year2019=161 per 100,000 live births.
Indonesia observed maternal_mortality_year2020=184 per 100,000 live births.
Indonesia observed maternal_mortality_year2021=226 per 100,000 live births.
