Record: Qatar (QAT), indicator=Maternal_Mortality_Ratio
Qatar observed maternal_mortality_year2000=11 per 100,000 live births.
Qatar observed maternal_mortality_year2001=12 per 100,000 live births.
Qatar observed maternal_mortality_year2002=11 per 100,000 live births.
Qatar observed maternal_mortality_year2003=11 per 100,000 live births.
Qatar observed maternal_mortality_year2004=11 per 100,000 live births.
Qatar observed maternal_mortality_year2005=11 per 100,000 live births.
Qatar observed maternal_mortality_year2006=10 per 100,000 live births.
Qatar observed maternal_mortality_year2007=9 per 100,000 live births.
Qatar observed maternal_mortality_year2008=9 per 100,000 live births.
Qatar observed maternal_mortality_year2009=8 per 100,000 live births.
Qatar observed maternal_mortality_year2010=8 per 100,000 live births.
Qatar observed maternal_mortality_year2011=7 per 100,000 live births.
Qatar observed maternal_mortality_year2012=7 per 100,000 live births.
Qatar observed maternal_mortality_year2013=6 per 100,000 live births.
Qatar observed maternal_mortality_year2014=6 per 100,000 live births.
Qatar observed maternal_mortality_year2015=6 per 100,000 live births.
Qatar observed maternal_mortality_year2016=5 per 100,000 live births.
Qatar observed maternal_mortality_year2017=5 per 100,000 live births.
Qatar observed maternal_mortality_year2018=5 per 100,000 live births.
Qatar observed maternal_mortality_year2019=5 per 100,000 live births.
Qatar observed maternal_mortality_year2020=6 per 100,000 live births.
Qatar observed maternal_mortality_year2021=7 per 100,000 live births.
