Record: Korea, Rep. (KOR), indicator=Maternal_Mortality_Ratio
Korea, Rep. observed maternal_mortality_year2000=15 per 100,000 live births.
Korea, Rep. observed maternal_mortality_year2001=14 per 100,000 live births.
Korea, Rep. observed maternal_mortality_year2002=13 per 100,000 live births.
Korea, Rep. observed maternal_mortality_year2003=13 per 100,000 live births.
Korea, Rep. observed maternal_mortality_year2004=12 per 100,000 live births.
Korea, Rep. observed maternal_mortality_year2005=11 per 100,000 live births.
Korea, Rep. observed maternal_mortality_year2006=10 per 100,000 live births.
Korea, Rep. observed maternal_mortality_year2007=10 per 100,000 live births.
Korea, Rep. observed maternal_mortality_year2008=9 per 100,000 live births.
Korea, Rep. observed maternal_mortality_year2009=9 per 100,000 live births.
Korea, Rep. observed maternal_mortality_year2010=8 per 100,000 live births.
Korea, Rep. observed maternal_mortality_year2011=8 per 100,000 live births.
Korea, Rep. observed maternal_mortality_year2012=8 per 100,000 live births.
Korea, Rep. observed maternal_mortality_year2013=7 per 100,000 live births.
Korea, Rep. observed maternal_mortality_year2014=7 per 100,000 live births.
Korea, Rep. observed maternal_mortality_year2015=6 per 100,000 live births.
Korea, Rep. observed maternal_mortality_year2016=6 per 100,000 live births.
Korea, Rep. observed maternal_mortality_year2017=6 per 100,000 live births.
Korea, Rep. observed maternal_mortality_year2018=5 per 100,000 live births.
Korea, Rep. observed maternal_mortality_year2019=5 per 100,000 live births.
Korea, Rep. observed maternal_mortality_year2020=12 per 100,000 live births.
Korea, Rep. observed maternal_mortality_year2021=5 per 100,000 live births.
