Record: Cabo Verde (CPV), indicator=Maternal_Mortality_Ratio
Cabo Verde observed maternal_mortality_year2000=110 per 100,000 live births.
Cabo Verde observed maternal_mortality_year2001=101 per 100,000 live births.
Cabo Verde observed maternal_mortality_year2002=92 per 100,000 live births.
Cabo Verde observed maternal_mortality_year2003=86 per 100,000 live births.
Cabo Verde observed maternal_mortality_year2004=80 per 100,000 live births.
Cabo Verde observed maternal_mortality_year2005=75 per 100,000 live births.
Cabo Verde observed maternal_mortality_year2006=76 per 100,000 live births.
Cabo Verde observed maternal_mortality_year2007=73 per 100,000 live births.
Cabo Verde observed maternal_mortality_year2008=68 per 100,000 live births.
Cabo Verde observed maternal_mortality_year2009=62 per 100,000 live births.
Cabo Verde observed maternal_mortality_year2010=61 per 100,000 live births.
Cabo Verde observed maternal_mortality_year2011=55 per 100,000 live births.
Cabo Verde observed maternal_mortality_year2012=51 per 100,000 live births.
Cabo Verde observed maternal_mortality_year2013=50 per 100,000 live births.
Cabo Verde observed maternal_mortality_year2014=48 per 100,000 live births.
Cabo Verde observed maternal_mortality_year2015=46 per 100,000 live births.
Cabo Verde observed maternal_mortality_year2016=44 per 100,000 live births.
Cabo Verde observed maternal_mortality_year2017=43 per 100,000 live births.
Cabo Verde observed maternal_mortality_year2018=43 per 100,000 live births.
Cabo Verde observed maternal_mortality_year2019=41 per 100,000 live births.
Cabo Verde observed maternal_mortality_year2020=56 per 100,000 live births.
Cabo Verde observed maternal_mortality_year2021=56 per 100,000 live births.
