Record: United States (USA), indicator=Maternal_Mortality_Ratio
United States observed maternal_mortality_year2000=12 per 100,000 live births.
United States observed maternal_mortality_year2001=13 per 100,000 live births.
United States observed maternal_mortality_year2002=13 per 100,000 live births.
United States observed maternal_mortality_year2003=13 per 100,000 live births.
United States observed maternal_mortality_year2004=13 per 100,000 live births.
United States observed maternal_mortality_year2005=13 per 100,000 live births.
United States observed maternal_mortality_year2006=13 per 100,000 live births.
United States observed maternal_mortality_year2007=13 per 100,000 live births.
United States observed maternal_mortality_year2008=14 per 100,000 live births.
United States observed maternal_mortality_year2009=15 per 100,000 live births.
United States observed maternal_mortality_year2010=15 per 100,000 live births.
United States observed maternal_mortality_year2011=15 per 100,000 live births.
United States observed maternal_mortality_year2012=16 per 100,000 live births.
United States observed maternal_mortality_year2013=16 per 100,000 live births.
United States observed maternal_mortality_year2014=17 per 100,000 live births.
United States observed maternal_mortality_year2015=17 per 100,000 live births.
United States observed maternal_mortality_year2016=18 per 100,000 live births.
United States observed maternal_mortality_year2017=18 per 100,000 live births.
United States observed maternal_mortality_year2018=18 per 100,000 live births.
United States observed maternal_mortality_year2019=18 per 100,000 live births.
United States observed maternal_mortality_year2020=22 per 100,000 live births.
United States observed maternal_mortality_year2021=31 per 100,000 live births.
