Record: Africa Western and Central (AFW), indicator=Maternal_Mortality_Ratio
Africa Western and Central observed maternal_mortality_year2000=907 per 100,000 live births.
Africa Western and Central observed maternal_mortality_year2001=899 per 100,000 live births.
Africa Western and Central observed maternal_mortality_year2002=886 per 100,000 live births.
Africa Western and Central observed maternal_mortality_year2003=866 per 100,000 live births.
Africa Western and Central observed maternal_mortality_year2004=851 per 100,000 live births.
Africa Western and Central observed maternal_mortality_year2005=839 per 100,000 live births.
Africa Western and Central observed maternal_mortality_year2006=840 per 100,000 live births.
Africa Western and Central observed maternal_mortality_year2007=834 per 100,000 live births.
Africa Western and Central observed maternal_mortality_year2008=840 per 100,000 live births.
Africa Western and Central observed maternal_mortality_year2009=842 per 100,000 live births.
Africa Western and Central observed maternal_mortality_year2010=839 per 100,000 live births.
Africa Western and Central observed maternal_mortality_year2011=836 per 100,000 live births.
Africa Western and Central observed maternal_mortality_year2012=834 per 100,000 live births.
Africa Western and Central observed maternal_mortality_year2013=832 per 100,000 live births.
Africa Western and Central observed maternal_mortality_year2014=827 per 100,000 live births.
Africa Western and Central observed maternal_mortality_year2015=820 per 100,000 live births.
Africa Western and Central observed maternal_mortality_year2016=799 per 100,000 live births.
Africa Western and Central observed maternal_mortality_year2017=782 per 100,000 live births.
Africa Western and Central observed maternal_mortality_year2018=757 per 100,000 live births.
Africa Western and Central observed maternal_mortality_year2019=744 per 100,000 live births.
Africa Western and Central observed maternal_mortality_year2020=720 per 100,000 live births.
Africa Western and Central observed maternal_mortality_year2021=716 per 100,000 live births.
