Record: Rwanda (RWA), indicator=Maternal_Mortality_Ratio
Rwanda observed maternal_mortality_year2000=885 per 100,000 live births.
Rwanda observed maternal_mortality_year2001=769 per 100,000 live births.
Rwanda observed maternal_mortality_year2002=677 per 100,000 live births.
Rwanda observed maternal_mortality_year2003=551 per 100,000 live births.
Rwanda observed maternal_mortality_year2004=460 per 100,000 live births.
Rwanda observed maternal_mortality_year2005=465 per 100,000 live births.
Rwanda observed maternal_mortality_year2006=494 per 100,000 live births.
Rwanda observed maternal_mortality_year2007=494 per 100,000 live births.
Rwanda observed maternal_mortality_year2008=454 per 100,000 live births.
Rwanda observed maternal_mortality_year2009=418 per 100,000 live births.
Rwanda observed maternal_mortality_year2010=393 per 100,000 live births.
Rwanda observed maternal_mortality_year2011=358 per 100,000 live births.
Rwanda observed maternal_mortality_year2012=331 per 100,000 live births.
Rwanda observed maternal_mortality_year2013=317 per 100,000 live births.
Rwanda observed maternal_mortality_year2014=301 per 100,000 live births.
Rwanda observed maternal_mortality_year2015=292 per 100,000 live births.
Rwanda observed maternal_mortality_year2016=278 per 100,000 live births.
Rwanda observed maternal_mortality_year2017=275 per 100,000 live births.
Rwanda observed maternal_mortality_year2018=269 per 100,000 live births.
Rwanda observed maternal_mortality_year2019=261 per 100,000 live births.
Rwanda observed maternal_mortality_year2020=252 per 100,000 live births.
Rwanda observed maternal_mortality_year2021=254 per 100,000 live births.
