Record: Ecuador (ECU), indicator=Maternal_Mortality_Ratio
Ecuador observed maternal_mortality_year2000=123 per 100,000 live births.
Ecuador observed maternal_mortality_year2001=116 per 100,000 live births.
Ecuador observed maternal_mortality_year2002=109 per 100,000 live births.
Ecuador observed maternal_mortality_year2003=102 per 100,000 live births.
Ecuador observed maternal_mortality_year2004=97 per 100,000 live births.
Ecuador observed maternal_mortality_year2005=94 per 100,000 live births.
Ecuador observed maternal_mortality_year2006=90 per 100,000 live births.
Ecuador observed maternal_mortality_year2007=86 per 100,000 live births.
Ecuador observed maternal_mortality_year2008=83 per 100,000 live births.
Ecuador observed maternal_mortality_year2009=82 per 100,000 live births.
Ecuador observed maternal_mortality_year2010=80 per 100,000 live births.
Ecuador observed maternal_mortality_year2011=77 per 100,000 live births.
Ecuador observed maternal_mortality_year2012=72 per 100,000 live births.
Ecuador observed maternal_mortality_year2013=68 per 100,000 live births.
Ecuador observed maternal_mortality_year2014=65 per 100,000 live births.
Ecuador observed maternal_mortality_year2015=64 per 100,000 live births.
Ecuador observed maternal_mortality_year2016=65 per 100,000 live births.
Ecuador observed maternal_mortality_year2017=62 per 100,000 live births.
Ecuador observed maternal_mortality_year2018=61 per 100,000 live births.
Ecuador observed maternal_mortality_year2019=62 per 100,000 live births.
Ecuador observed maternal_mortality_year2020=91 per 100,000 live births.
Ecuador observed maternal_mortality_year2021=93 per 100,000 live births.
