Record: Upper middle income (UMC), indicator=Maternal_Mortality_Ratio
Upper middle income observed maternal_mortality_year2000=97 per 100,000 live births.
Upper middle income observed maternal_mortality_year2001=94 per 100,000 live births.
Upper middle income observed maternal_mortality_year2002=91 per 100,000 live births.
Upper middle income observed maternal_mortality_year2003=90 per 100,000 live births.
Upper middle income observed maternal_mortality_year2004=90 per 100,000 live births.
Upper middle income observed maternal_mortality_year2005=87 per 100,000 live births.
Upper middle income observed maternal_mortality_year2006=86 per 100,000 live births.
Upper middle income observed maternal_mortality_year2007=83 per 100,000 live births.
Upper middle income observed maternal_mortality_year2008=82 per 100,000 live births.
Upper middle income observed maternal_mortality_year2009=78 per 100,000 live births.
Upper middle income observed maternal_mortality_year2010=76 per 100,000 live births.
Upper middle income observed maternal_mortality_year2011=73 per 100,000 live births.
Upper middle income observed maternal_mortality_year2012=69 per 100,000 live births.
Upper middle income observed maternal_mortality_year2013=66 per 100,000 live births.
Upper middle income observed maternal_mortality_year2014=63 per 100,000 live births.
Upper middle income observed maternal_mortality_year2015=61 per 100,000 live births.
Upper middle income observed maternal_mortality_year2016=58 per 100,000 live births.
Upper middle income observed maternal_mortality_year2017=55 per 100,000 live births.
Upper middle income observed maternal_mortality_year2018=56 per 100,000 live births.
Upper middle income observed maternal_mortality_year2019=55 per 100,000 live births.
Upper middle income observed maternal_mortality_year2020=67 per 100,000 live births.
Upper middle income observed maternal_mortality_year2021=93 per 100,000 live births.
