Record: Serbia (SRB), indicator=Maternal_Mortality_Ratio
Serbia observed maternal_mortality_year2000=16 per 100,000 live births.
Serbia observed maternal_mortality_year2001=15 per 100,000 live births.
Serbia observed maternal_mortality_year2002=14 per 100,000 live births.
Serbia observed maternal_mortality_year2003=14 per 100,000 live births.
Serbia observed maternal_mortality_year2004=13 per 100,000 live births.
Serbia observed maternal_mortality_year2005=13 per 100,000 live births.
Serbia observed maternal_mortality_year2006=12 per 100,000 live births.
Serbia observed maternal_mortality_year2007=12 per 100,000 live births.
Serbia observed maternal_mortality_year2008=12 per 100,000 live births.
Serbia observed maternal_mortality_year2009=12 per 100,000 live births.
Serbia observed maternal_mortality_year2010=13 per 100,000 live births.
Serbia observed maternal_mortality_year2011=13 per 100,000 live births.
Serbia observed maternal_mortality_year2012=13 per 100,000 live births.
Serbia observed maternal_mortality_year2013=13 per 100,000 live births.
Serbia observed maternal_mortality_year2014=13 per 100,000 live births.
Serbia observed maternal_mortality_year2015=13 per 100,000 live births.
Serbia observed maternal_mortality_year2016=13 per 100,000 live births.
Serbia observed maternal_mortality_year2017=13 per 100,000 live births.
Serbia observed maternal_mortality_year2018=12 per 100,000 live births.
Serbia observed maternal_mortality_year2019=12 per 100,000 live births.
Serbia observed maternal_mortality_year2020=16 per 100,000 live births.
Serbia observed maternal_mortality_year2021=26 per 100,000 live births.
