Record: Lithuania (LTU), indicator=Maternal_Mortality_Ratio
Lithuania observed maternal_mortality_year2000=16 per 100,000 live births.
Lithuania observed maternal_mortality_year2001=16 per 100,000 live births.
Lithuania observed maternal_mortality_year2002=14 per 100,000 live births.
Lithuania observed maternal_mortality_year2003=14 per 100,000 live births.
Lithuania observed maternal_mortality_year2004=12 per 100,000 live births.
Lithuania observed maternal_mortality_year2005=13 per 100,000 live births.
Lithuania observed maternal_mortality_year2006=14 per 100,000 live births.
Lithuania observed maternal_mortality_year2007=14 per 100,000 live births.
Lithuania observed maternal_mortality_year2008=13 per 100,000 live births.
Lithuania observed maternal_mortality_year2009=11 per 100,000 live births.
Lithuania observed maternal_mortality_year2010=10 per 100,000 live births.
Lithuania observed maternal_mortality_year2011=10 per 100,000 live births.
Lithuania observed maternal_mortality_year2012=10 per 100,000 live births.
Lithuania observed maternal_mortality_year2013=10 per 100,000 live births.
Lithuania observed maternal_mortality_year2014=9 per 100,000 live births.
Lithuania observed maternal_mortality_year2015=10 per 100,000 live births.
Lithuania observed maternal_mortality_year2016=9 per 100,000 live births.
Lithuania observed maternal_mortality_year2017=10 per 100,000 live births.
Lithuania observed maternal_mortality_year2018=9 per 100,000 live births.
Lithuania observed maternal_mortality_year2019=9 per 100,000 live births.
Lithuania observed maternal_mortality_year2020=8 per 100,000 live births.
Lithuania observed maternal_mortality_year2021=9 per 100,000 live births.
