Record: Gabon (GAB), indicator=Maternal_Mortality_Ratio
Gabon observed maternal_mortality_year2000=178 per 100,000 live births.
Gabon observed maternal_mortality_year2001=160 per 100,000 live births.
Gabon observed maternal_mortality_year2002=151 per 100,000 live births.
Gabon observed maternal_mortality_year2003=134 per 100,000 live births.
Gabon observed maternal_mortality_year2004=142 per 100,000 live births.
Gabon observed maternal_mortality_year2005=175 per 100,000 live births.
Gabon observed maternal_mortality_year2006=186 per 100,000 live births.
Gabon observed maternal_mortality_year2007=173 per 100,000 live births.
Gabon observed maternal_mortality_year2008=158 per 100,000 live births.
Gabon observed maternal_mortality_year2009=158 per 100,000 live births.
Gabon observed maternal_mortality_year2010=144 per 100,000 live births.
Gabon observed maternal_mortality_year2011=149 per 100,000 live births.
Gabon observed maternal_mortality_year2012=173 per 100,000 live births.
Gabon observed maternal_mortality_year2013=235 per 100,000 live births.
Gabon observed maternal_mortality_year2014=273 per 100,000 live births.
Gabon observed maternal_mortality_year2015=239 per 100,000 live births.
Gabon observed maternal_mortality_year2016=215 per 100,000 live births.
Gabon observed maternal_mortality_year2017=184 per 100,000 live births.
Gabon observed maternal_mortality_year2018=176 per 100,000 live births.
Gabon observed maternal_mortality_year2019=179 per 100,000 live births.
Gabon observed maternal_mortality_year2020=194 per 100,000 live births.
Gabon observed maternal_mortality_year2021=249 per 100,000 live births.
