Record: Mali (MLI), indicator=Maternal_Mortality_Ratio
Mali observed maternal_mortality_year2000=741 per 100,000 live births.
Mali observed maternal_mortality_year2001=694 per 100,000 live births.
Mali observed maternal_mortality_year2002=649 per 100,000 live births.
Mali observed maternal_mortality_year2003=616 per 100,000 live births.
Mali observed maternal_mortality_year2004=592 per 100,000 live births.
Mali observed maternal_mortality_year2005=577 per 100,000 live births.
Mali observed maternal_mortality_year2006=568 per 100,000 live births.
Mali observed maternal_mortality_year2007=574 per 100,000 live births.
Mali observed maternal_mortality_year2008=573 per 100,000 live births.
Mali observed maternal_mortality_year2009=565 per 100,000 live births.
Mali observed maternal_mortality_year2010=558 per 100,000 live births.
Mali observed maternal_mortality_year2011=553 per 100,000 live births.
Mali observed maternal_mortality_year2012=549 per 100,000 live births.
Mali observed maternal_mortality_year2013=525 per 100,000 live births.
Mali observed maternal_mortality_year2014=507 per 100,000 live births.
Mali observed maternal_mortality_year2015=490 per 100,000 live births.
Mali observed maternal_mortality_year2016=472 per 100,000 live births.
Mali observed maternal_mortality_year2017=453 per 100,000 live births.
Mali observed maternal_mortality_year2018=434 per 100,000 live births.
Mali observed maternal_mortality_year2019=416 per 100,000 live births.
Mali observed maternal_mortality_year2020=405 per 100,000 live births.
Mali observed maternal_mortality_year2021=415 per 100,000 live births.
