Record: Tanzania (TZA), indicator=Maternal_Mortality_Ratio
Tanzania observed maternal_mortality_year2000=568 per 100,000 live births.
Tanzania observed maternal_mortality_year2001=493 per 100,000 live births.
Tanzania observed maternal_mortality_year2002=454 per 100,000 live births.
Tanzania observed maternal_mortality_year2003=397 per 100,000 live births.
Tanzania observed maternal_mortality_year2004=365 per 100,000 live births.
Tanzania observed maternal_mortality_year2005=350 per 100,000 live births.
Tanzania observed maternal_mortality_year2006=366 per 100,000 live births.
Tanzania observed maternal_mortality_year2007=453 per 100,000 live births.
Tanzania observed maternal_mortality_year2008=511 per 100,000 live births.
Tanzania observed maternal_mortality_year2009=502 per 100,000 live births.
Tanzania observed maternal_mortality_year2010=486 per 100,000 live births.
Tanzania observed maternal_mortality_year2011=475 per 100,000 live births.
Tanzania observed maternal_mortality_year2012=448 per 100,000 live births.
Tanzania observed maternal_mortality_year2013=479 per 100,000 live births.
Tanzania observed maternal_mortality_year2014=454 per 100,000 live births.
Tanzania observed maternal_mortality_year2015=433 per 100,000 live births.
Tanzania observed maternal_mortality_year2016=396 per 100,000 live births.
Tanzania observed maternal_mortality_year2017=345 per 100,000 live births.
Tanzania observed maternal_mortality_year2018=319 per 100,000 live births.
Tanzania observed maternal_mortality_year2019=292 per 100,000 live births.
Tanzania observed maternal_mortality_year2020=160 per 100,000 live births.
Tanzania observed maternal_mortality_year2021=162 per 100,000 live births.
