Record: St. Lucia (LCA), indicator=Maternal_Mortality_Ratio
St. Lucia observed maternal_mortality_year2000=83 per 100,000 live births.
St. Lucia observed maternal_mortality_year2001=70 per 100,000 live births.
St. Lucia observed maternal_mortality_year2002=62 per 100,000 live births.
St. Lucia observed maternal_mortality_year2003=56 per 100,000 live births.
St. Lucia observed maternal_mortality_year2004=54 per 100,000 live births.
St. Lucia observed maternal_mortality_year2005=55 per 100,000 live births.
St. Lucia observed maternal_mortality_year2006=53 per 100,000 live births.
St. Lucia observed maternal_mortality_year2007=55 per 100,000 live births.
St. Lucia observed maternal_mortality_year2008=55 per 100,000 live births.
St. Lucia observed maternal_mortality_year2009=51 per 100,000 live births.
St. Lucia observed maternal_mortality_year2010=56 per 100,000 live births.
St. Lucia observed maternal_mortality_year2011=56 per 100,000 live births.
St. Lucia observed maternal_mortality_year2012=55 per 100,000 live births.
St. Lucia observed maternal_mortality_year2013=53 per 100,000 live births.
St. Lucia observed maternal_mortality_year2014=49 per 100,000 live births.
St. Lucia observed maternal_mortality_year2015=46 per 100,000 live births.
St. Lucia observed maternal_mortality_year2016=46 per 100,000 live births.
St. Lucia observed maternal_mortality_year2017=43 per 100,000 live births.
St. Lucia observed maternal_mortality_year2018=41 per 100,000 live births.
St. Lucia observed maternal_mortality_year2019=43 per 100,000 live births.
St. Lucia observed maternal_mortality_year2020=43 per 100,000 live births.
St. Lucia observed maternal_mortality_year2021=94 per 100,000 live births.
