Record: Sao Tome and Principe (STP), indicator=Maternal_Mortality_Ratio
Sao Tome and Principe observed maternal_mortality_year2000=180 per 100,000 live births.
Sao Tome and Principe observed maternal_mortality_year2001=178 per 100,000 live births.
Sao Tome and Principe observed maternal_mortality_year2002=179 per 100,000 live births.
Sao Tome and Principe observed maternal_mortality_year2003=178 per 100,000 live births.
Sao Tome and Principe observed maternal_mortality_year2004=177 per 100,000 live births.
Sao Tome and Principe observed maternal_mortality_year2005=181 per 100,000 live births.
Sao Tome and Principe observed maternal_mortality_year2006=177 per 100,000 live births.
Sao Tome and Principe observed maternal_mortality_year2007=174 per 100,000 live births.
Sao Tome and Principe observed maternal_mortality_year2008=174 per 100,000 live births.
Sao Tome and Principe observed maternal_mortality_year2009=172 per 100,000 live births.
Sao Tome and Principe observed maternal_mortality_year2010=170 per 100,000 live births.
Sao Tome and Principe observed maternal_mortality_year2011=164 per 100,000 live births.
Sao Tome and Principe observed maternal_mortality_year2012=158 per 100,000 live births.
Sao Tome and Principe observed maternal_mortality_year2013=150 per 100,000 live births.
Sao Tome and Principe observed maternal_mortality_year2014=138 per 100,000 live births.
Sao Tome and Principe observed maternal_mortality_year2015=128 per 100,000 live births.
Sao Tome and Principe observed maternal_mortality_year2016=119 per 100,000 live births.
Sao Tome and Principe observed maternal_mortality_year2017=110 per 100,000 live births.
Sao Tome and Principe observed maternal_mortality_year2018=100 per 100,000 live births.
Sao Tome and Principe observed maternal_mortality_year2019=95 per 100,000 live births.
Sao Tome and Principe observed maternal_mortality_year2020=92 per 100,000 live births.
Sao Tome and Principe observed maternal_mortality_year2021=98 per 100,000 live births.
