Record: Portugal (PRT), indicator=Maternal_Mortality_Ratio
Portugal observed maternal_mortality_year2000=9 per 100,000 live births.
Portugal observed maternal_mortality_year2001=9 per 100,000 live births.
Portugal observed maternal_mortality_year2002=9 per 100,000 live births.
Portugal observed maternal_mortality_year2003=8 per 100,000 live births.
Portugal observed maternal_mortality_year2004=8 per 100,000 live births.
Portugal observed maternal_mortality_year2005=8 per 100,000 live births.
Portugal observed maternal_mortality_year2006=8 per 100,000 live births.
Portugal observed maternal_mortality_year2007=8 per 100,000 live births.
Portugal observed maternal_mortality_year2008=9 per 100,000 live births.
Portugal observed maternal_mortality_year2009=9 per 100,000 live births.
Portugal observed maternal_mortality_year2010=10 per 100,000 live births.
Portugal observed maternal_mortality_year2011=10 per 100,000 live births.
Portugal observed maternal_mortality_year2012=10 per 100,000 live births.
Portugal observed maternal_mortality_year2013=10 per 100,000 live births.
Portugal observed maternal_mortality_year2014=11 per 100,000 live births.
Portugal observed maternal_mortality_year2015=11 per 100,000 live births.
Portugal observed maternal_mortality_year2016=12 per 100,000 live births.
Portugal observed maternal_mortality_year2017=13 per 100,000 live births.
Portugal observed maternal_mortality_year2018=14 per 100,000 live births.
Portugal observed maternal_mortality_year2019=15 per 100,000 live births.
Portugal observed maternal_mortality_year2020=14 per 100,000 live births.
Portugal observed maternal_mortality_year2021=19 per 100,000 live births.
