Record: Morocco (MAR), indicator=Maternal_Mortality_Ratio
Morocco observed maternal_mortality_year2000=271 per 100,000 live births.
Morocco observed maternal_mortality_year2001=254 per 100,000 live births.
Morocco observed maternal_mortality_year2002=238 per 100,000 live births.
Morocco observed maternal_mortality_year2003=224 per 100,000 live births.
Morocco observed maternal_mortality_year2004=213 per 100,000 live births.
Morocco observed maternal_mortality_year2005=196 per 100,000 live births.
Morocco observed maternal_mortality_year2006=182 per 100,000 live births.
Morocco observed maternal_mortality_year2007=169 per 100,000 live births.
Morocco observed maternal_mortality_year2008=158 per 100,000 live births.
Morocco observed maternal_mortality_year2009=148 per 100,000 live births.
Morocco observed maternal_mortality_year2010=140 per 100,000 live births.
Morocco observed maternal_mortality_year2011=130 per 100,000 live births.
Morocco observed maternal_mortality_year2012=121 per 100,000 live births.
Morocco observed maternal_mortality_year2013=113 per 100,000 live births.
Morocco observed maternal_mortality_year2014=106 per 100,000 live births.
Morocco observed maternal_mortality_year2015=100 per 100,000 live births.
Morocco observed maternal_mortality_year2016=94 per 100,000 live births.
Morocco observed maternal_mortality_year2017=88 per 100,000 live births.
Morocco observed maternal_mortality_year2018=83 per 100,000 live births.
Morocco observed maternal_mortality_year2019=79 per 100,000 live births.
Morocco observed maternal_mortality_year2020=81 per 100,000 live births.
Morocco observed maternal_mortality_year2021=92 per 100,000 live births.
