Record: South Africa (ZAF), indicator=Maternal_Mortality_Ratio
South Africa observed maternal_mortality_year2000=175 per 100,000 live births.
South Africa observed maternal_mortality_year2001=192 per 100,000 live births.
South Africa observed maternal_mortality_year2002=225 per 100,000 live births.
South Africa observed maternal_mortality_year2003=245 per 100,000 live births.
South Africa observed maternal_mortality_year2004=259 per 100,000 live births.
South Africa observed maternal_mortality_year2005=279 per 100,000 live births.
South Africa observed maternal_mortality_year2006=283 per 100,000 live births.
South Africa observed maternal_mortality_year2007=272 per 100,000 live births.
South Africa observed maternal_mortality_year2008=272 per 100,000 live births.
South Africa observed maternal_mortality_year2009=241 per 100,000 live births.
South Africa observed maternal_mortality_year2010=226 per 100,000 live births.
South Africa observed maternal_mortality_year2011=202 per 100,000 live births.
South Africa observed maternal_mortality_year2012=194 per 100,000 live births.
South Africa observed maternal_mortality_year2013=180 per 100,000 live births.
South Africa observed maternal_mortality_year2014=162 per 100,000 live births.
South Africa observed maternal_mortality_year2015=150 per 100,000 live births.
South Africa observed maternal_mortality_year2016=141 per 100,000 live births.
South Africa observed maternal_mortality_year2017=134 per 100,000 live births.
South Africa observed maternal_mortality_year2018=128 per 100,000 live births.
South Africa observed maternal_mortality_year2019=119 per 100,000 live births.
South Africa observed maternal_mortality_year2020=118 per 100,000 live births.
South Africa observed maternal_mortality_year2021=191 per 100,000 live births.
