Record: IDA & IBRD total (IBT), indicator=Maternal_Mortality_Ratio
IDA & IBRD total observed maternal_mortality_year2000=355 per 100,000 live births.
IDA & IBRD total observed maternal_mortality_year2001=347 per 100,000 live births.
IDA & IBRD total observed maternal_mortality_year2002=336 per 100,000 live births.
IDA & IBRD total observed maternal_mortality_year2003=325 per 100,000 live births.
IDA & IBRD total observed maternal_mortality_year2004=314 per 100,000 live births.
IDA & IBRD total observed maternal_mortality_year2005=305 per 100,000 live births.
IDA & IBRD total observed maternal_mortality_year2006=298 per 100,000 live births.
IDA & IBRD total observed maternal_mortality_year2007=290 per 100,000 live births.
IDA & IBRD total observed maternal_mortality_year2008=284 per 100,000 live births.
IDA & IBRD total observed maternal_mortality_year2009=278 per 100,000 live births.
IDA & IBRD total observed maternal_mortality_year2010=272 per 100,000 live births.
IDA & IBRD total observed maternal_mortality_year2011=264 per 100,000 live births.
IDA & IBRD total observed maternal_mortality_year2012=254 per 100,000 live births.
IDA & IBRD total observed maternal_mortality_year2013=250 per 100,000 live births.
IDA & IBRD total observed maternal_mortality_year2014=245 per 100,000 live births.
IDA & IBRD total observed maternal_mortality_year2015=241 per 100,000 live births.
IDA & IBRD total observed maternal_mortality_year2016=232 per 100,000 live births.
IDA & IBRD total observed maternal_mortality_year2017=225 per 100,000 live births.
IDA & IBRD total observed maternal_mortality_year2018=221 per 100,000 live births.
IDA & IBRD total observed maternal_mortality_year2019=216 per 100,000 live births.
IDA & IBRD total observed maternal_mortality_year2020=219 per 100,000 live births.
IDA & IBRD total observed maternal_mortality_year2021=247 per 100,000 live births.
