Record: Sierra Leone (SLE), indicator=Maternal_Mortality_Ratio
Sierra Leone observed maternal_mortality_year2000=1603 per 100,000 live births.
Sierra Leone observed maternal_mortality_year2001=1518 per 100,000 live births.
Sierra Leone observed maternal_mortality_year2002=1492 per 100,000 live births.
Sierra Leone observed maternal_mortality_year2003=1433 per 100,000 live births.
Sierra Leone observed maternal_mortality_year2004=1366 per 100,000 live births.
Sierra Leone observed maternal_mortality_year2005=1294 per 100,000 live births.
Sierra Leone observed maternal_mortality_year2006=1168 per 100,000 live births.
Sierra Leone observed maternal_mortality_year2007=1132 per 100,000 live births.
Sierra Leone observed maternal_mortality_year2008=1093 per 100,000 live births.
Sierra Leone observed maternal_mortality_year2009=1054 per 100,000 live births.
Sierra Leone observed maternal_mortality_year2010=1018 per 100,000 live births.
Sierra Leone observed maternal_mortality_year2011=967 per 100,000 live births.
Sierra Leone observed maternal_mortality_year2012=915 per 100,000 live births.
Sierra Leone observed maternal_mortality_year2013=842 per 100,000 live births.
Sierra Leone observed maternal_mortality_year2014=821 per 100,000 live births.
Sierra Leone observed maternal_mortality_year2015=730 per 100,000 live births.
Sierra Leone observed maternal_mortality_year2016=633 per 100,000 live births.
Sierra Leone observed maternal_mortality_year2017=578 per 100,000 live births.
Sierra Leone observed maternal_mortality_year2018=491 per 100,000 live births.
Sierra Leone observed maternal_mortality_year2019=464 per 100,000 live births.
Sierra Leone observed maternal_mortality_year2020=422 per 100,000 live births.
Sierra Leone observed maternal_mortality_year2021=403 per 100,000 live births.
