Record: Bolivia (BOL), indicator=Maternal_Mortality_Ratio
Bolivia observed maternal_mortality_year2000=287 per 100,000 live births.
Bolivia observed maternal_mortality_year2001=276 per 100,000 live births.
Bolivia observed maternal_mortality_year2002=262 per 100,000 live births.
Bolivia observed maternal_mortality_year2003=256 per 100,000 live births.
Bolivia observed maternal_mortality_year2004=251 per 100,000 live births.
Bolivia observed maternal_mortality_year2005=242 per 100,000 live births.
Bolivia observed maternal_mortality_year2006=236 per 100,000 live births.
Bolivia observed maternal_mortality_year2007=224 per 100,000 live births.
Bolivia observed maternal_mortality_year2008=214 per 100,000 live births.
Bolivia observed maternal_mortality_year2009=205 per 100,000 live births.
Bolivia observed maternal_mortality_year2010=196 per 100,000 live births.
Bolivia observed maternal_mortality_year2011=187 per 100,000 live births.
Bolivia observed maternal_mortality_year2012=180 per 100,000 live births.
Bolivia observed maternal_mortality_year2013=175 per 100,000 live births.
Bolivia observed maternal_mortality_year2014=171 per 100,000 live births.
Bolivia observed maternal_mortality_year2015=166 per 100,000 live births.
Bolivia observed maternal_mortality_year2016=162 per 100,000 live births.
Bolivia observed maternal_mortality_year2017=160 per 100,000 live births.
Bolivia observed maternal_mortality_year2018=157 per 100,000 live births.
Bolivia observed maternal_mortality_year2019=156 per 100,000 live births.
Bolivia observed maternal_mortality_year2020=218 per 100,000 live births.
Bolivia observed maternal_mortality_year2021=270 per 100,000 live births.
