Record: Sri Lanka (LKA), indicator=Maternal_Mortality_Ratio
Sri Lanka observed maternal_mortality_year2000=39 per 100,000 live births.
Sri Lanka observed maternal_mortality_year2001=37 per 100,000 live births.
Sri Lanka observed maternal_mortality_year2002=36 per 100,000 live births.
Sri Lanka observed maternal_mortality_year2003=35 per 100,000 live births.
Sri Lanka observed maternal_mortality_year2004=37 per 100,000 live births.
Sri Lanka observed maternal_mortality_year2005=32 per 100,000 live births.
Sri Lanka observed maternal_mortality_year2006=32 per 100,000 live births.
Sri Lanka observed maternal_mortality_year2007=31 per 100,000 live births.
Sri Lanka observed maternal_mortality_year2008=30 per 100,000 live births.
Sri Lanka observed maternal_mortality_year2009=28 per 100,000 live births.
Sri Lanka observed maternal_mortality_year2010=26 per 100,000 live births.
Sri Lanka observed maternal_mortality_year2011=25 per 100,000 live births.
Sri Lanka observed maternal_mortality_year2012=24 per 100,000 live births.
Sri Lanka observed maternal_mortality_year2013=23 per 100,000 live births.
Sri Lanka observed maternal_mortality_year2014=23 per 100,000 live births.
Sri Lanka observed maternal_mortality_year2015=22 per 100,000 live births.
Sri Lanka observed maternal_mortality_year2016=22 per 100,000 live births.
Sri Lanka observed maternal_mortality_year2017=21 per 100,000 live births.
Sri Lanka observed maternal_mortality_year2018=21 per 100,000 live births.
Sri Lanka observed maternal_mortality_year2019=20 per 100,000 live births.
Sri Lanka observed maternal_mortality_year2020=23 per 100,000 live births.
Sri Lanka observed maternal_mortality_year2021=34 per 100,000 live births.
