Record: Namibia (NAM), indicator=Maternal_Mortality_Ratio
Namibia observed maternal_mortality_year2000=384 per 100,000 live births.
Namibia observed maternal_mortality_year2001=376 per 100,000 live births.
Namibia observed maternal_mortality_year2002=313 per 100,000 live births.
Namibia observed maternal_mortality_year2003=290 per 100,000 live births.
Namibia observed maternal_mortality_year2004=282 per 100,000 live births.
Namibia observed maternal_mortality_year2005=344 per 100,000 live births.
Namibia observed maternal_mortality_year2006=408 per 100,000 live births.
Namibia observed maternal_mortality_year2007=489 per 100,000 live births.
Namibia observed maternal_mortality_year2008=537 per 100,000 live births.
Namibia observed maternal_mortality_year2009=547 per 100,000 live births.
Namibia observed maternal_mortality_year2010=531 per 100,000 live births.
Namibia observed maternal_mortality_year2011=498 per 100,000 live births.
Namibia observed maternal_mortality_year2012=439 per 100,000 live births.
Namibia observed maternal_mortality_year2013=402 per 100,000 live births.
Namibia observed maternal_mortality_year2014=369 per 100,000 live births.
Namibia observed maternal_mortality_year2015=307 per 100,000 live births.
Namibia observed maternal_mortality_year2016=250 per 100,000 live births.
Namibia observed maternal_mortality_year2017=213 per 100,000 live births.
Namibia observed maternal_mortality_year2018=198 per 100,000 live births.
Namibia observed maternal_mortality_year2019=175 per 100,000 live births.
Namibia observed maternal_mortality_year2020=143 per 100,000 live births.
Namibia observed maternal_mortality_year2021=254 per 100,000 live births.
