Record: Kyrgyz Republic (KGZ), indicator=Maternal_Mortality_Ratio
Kyrgyz Republic observed maternal_mortality_year2000=72 per 100,000 live births.
Kyrgyz Republic observed maternal_mortality_year2001=72 per 100,000 live births.
Kyrgyz Republic observed maternal_mortality_year2002=74 per 100,000 live births.
Kyrgyz Republic observed maternal_mortality_year2003=75 per 100,000 live births.
Kyrgyz Republic observed maternal_mortality_year2004=74 per 100,000 live births.
Kyrgyz Republic observed maternal_mortality_year2005=74 per 100,000 live births.
Kyrgyz Republic observed maternal_mortality_year2006=76 per 100,000 live births.
Kyrgyz Republic observed maternal_mortality_year2007=75 per 100,000 live births.
Kyrgyz Republic observed maternal_mortality_year2008=73 per 100,000 live births.
Kyrgyz Republic observed maternal_mortality_year2009=71 per 100,000 live births.
Kyrgyz Republic observed maternal_mortality_year2010=71 per 100,000 live births.
Kyrgyz Republic observed maternal_mortality_year2011=70 per 100,000 live births.
Kyrgyz Republic observed maternal_mortality_year2012=67 per 100,000 live births.
Kyrgyz Republic observed maternal_mortality_year2013=64 per 100,000 live births.
Kyrgyz Republic observed maternal_mortality_year2014=62 per 100,000 live births.
Kyrgyz Republic observed maternal_mortality_year2015=58 per 100,000 live births.
Kyrgyz Republic observed maternal_mortality_year2016=53 per 100,000 live births.
Kyrgyz Republic observed maternal_mortality_year2017=49 per 100,000 live births.
Kyrgyz Republic observed maternal_mortality_year2018=49 per 100,000 live births.
Kyrgyz Republic observed maternal_mortality_year2019=47 per 100,000 live births.
Kyrgyz Republic observed maternal_mortality_year2020=55 per 100,000 live births.
Kyrgyz Republic observed maternal_mortality_year2021=70 per 100,000 live births.
