Record: Guinea-Bissau (GNB), indicator=Maternal_Mortality_Ratio
Guinea-Bissau observed maternal_mortality_year2000=1295 per 100,000 live births.
Guinea-Bissau observed maternal_mortality_year2001=1222 per 100,000 live births.
Guinea-Bissau observed maternal_mortality_year2002=1141 per 100,000 live births.
Guinea-Bissau observed maternal_mortality_year2003=1069 per 100,000 live births.
Guinea-Bissau observed maternal_mortality_year2004=980 per 100,000 live births.
Guinea-Bissau observed maternal_mortality_year2005=956 per 100,000 live births.
Guinea-Bissau observed maternal_mortality_year2006=831 per 100,000 live births.
Guinea-Bissau observed maternal_mortality_year2007=792 per 100,000 live births.
Guinea-Bissau observed maternal_mortality_year2008=802 per 100,000 live births.
Guinea-Bissau observed maternal_mortality_year2009=753 per 100,000 live births.
Guinea-Bissau observed maternal_mortality_year2010=698 per 100,000 live births.
Guinea-Bissau observed maternal_mortality_year2011=678 per 100,000 live births.
Guinea-Bissau observed maternal_mortality_year2012=704 per 100,000 live births.
Guinea-Bissau observed maternal_mortality_year2013=707 per 100,000 live births.
Guinea-Bissau observed maternal_mortality_year2014=662 per 100,000 live births.
Guinea-Bissau observed maternal_mortality_year2015=631 per 100,000 live births.
Guinea-Bissau observed maternal_mortality_year2016=617 per 100,000 live births.
Guinea-Bissau observed maternal_mortality_year2017=597 per 100,000 live births.
Guinea-Bissau observed maternal_mortality_year2018=585 per 100,000 live births.
Guinea-Bissau observed maternal_mortality_year2019=598 per 100,000 live births.
Guinea-Bissau observed maternal_mortality_year2020=603 per 100,000 live births.
Guinea-Bissau observed maternal_mortality_year2021=617 per 100,000 live births.
