Record: Dominican Republic (DOM), indicator=Maternal_Mortality_Ratio
Dominican Republic observed maternal_mortality_year2000=76 per 100,000 live births.
Dominican Republic observed maternal_mortality_year2001=68 per 100,000 live births.
Dominican Republic observed maternal_mortality_year2002=68 per 100,000 live births.
Dominican Republic observed maternal_mortality_year2003=71 per 100,000 live births.
Dominican Republic observed maternal_mortality_year2004=78 per 100,000 live births.
Dominican Republic observed maternal_mortality_year2005=83 per 100,000 live births.
Dominican Republic observed maternal_mortality_year2006=87 per 100,000 live births.
Dominican Republic observed maternal_mortality_year2007=90 per 100,000 live births.
Dominican Republic observed maternal_mortality_year2008=94 per 100,000 live births.
Dominican Republic observed maternal_mortality_year2009=96 per 100,000 live births.
Dominican Republic observed maternal_mortality_year2010=92 per 100,000 live births.
Dominican Republic observed maternal_mortality_year2011=91 per 100,000 live births.
Dominican Republic observed maternal_mortality_year2012=89 per 100,000 live births.
Dominican Republic observed maternal_mortality_year2013=91 per 100,000 live births.
Dominican Republic observed maternal_mortality_year2014=95 per 100,000 live births.
Dominican Republic observed maternal_mortality_year2015=102 per 100,000 live births.
Dominican Republic observed maternal_mortality_year2016=106 per 100,000 live births.
Dominican Republic observed maternal_mortality_year2017=104 per 100,000 live births.
Dominican Republic observed maternal_mortality_year2018=107 per 100,000 live births.
Dominican Republic observed maternal_mortality_year2019=118 per 100,000 live births.
Dominican Republic observed maternal_mortality_year2020=121 per 100,000 live births.
Dominican Republic observed maternal_mortality_year2021=153 per 100,000 live births.
