Record: Iran, Islamic Rep. (IRN), indicator=Maternal_Mortality_Ratio
Iran, Islamic Rep. observed maternal_mortality_year2000=43 per 100,000 live births.
Iran, Islamic Rep. observed maternal_mortality_year2001=40 per 100,000 live births.
Iran, Islamic Rep. observed maternal_mortality_year2002=38 per 100,000 live births.
Iran, Islamic Rep. observed maternal_mortality_year2003=37 per 100,000 live births.
Iran, Islamic Rep. observed maternal_mortality_year2004=34 per 100,000 live births.
Iran, Islamic Rep. observed maternal_mortality_year2005=33 per 100,000 live births.
Iran, Islamic Rep. observed maternal_mortality_year2006=32 per 100,000 live births.
Iran, Islamic Rep. observed maternal_mortality_year2007=31 per 100,000 live births.
Iran, Islamic Rep. observed maternal_mortality_year2008=30 per 100,000 live births.
Iran, Islamic Rep. observed maternal_mortality_year2009=28 per 100,000 live births.
Iran, Islamic Rep. observed maternal_mortality_year2010=27 per 100,000 live births.
Iran, Islamic Rep. observed maternal_mortality_year2011=26 per 100,000 live births.
Iran, Islamic Rep. observed maternal_mortality_year2012=25 per 100,000 live births.
Iran, Islamic Rep. observed maternal_mortality_year2013=24 per 100,000 live births.
Iran, Islamic Rep. observed maternal_mortality_year2014=23 per 100,000 live births.
Iran, Islamic Rep. observed maternal_mortality_year2015=22 per 100,000 live births.
Iran, Islamic Rep. observed maternal_mortality_year2016=21 per 100,000 live births.
Iran, Islamic Rep. observed maternal_mortality_year2017=20 per 100,000 live births.
Iran, Islamic Rep. observed maternal_mortality_year2018=19 per 100,000 live births.
Iran, Islamic Rep. observed maternal_mortality_year2019=18 per 100,000 live births.
Iran, Islamic Rep. observed maternal_mortality_year2020=34 per 100,000 live births.
Iran, Islamic Rep. observed maternal_mortality_year2021=51 per 100,000 live births.
