Record: Kiribati (KIR), indicator=Maternal_Mortality_Ratio
Kiribati observed maternal_mortality_year2000=119 per 100,000 live births.
Kiribati observed maternal_mortality_year2001=113 per 100,000 live births.
Kiribati observed maternal_mortality_year2002=109 per 100,000 live births.
Kiribati observed maternal_mortality_year2003=105 per 100,000 live births.
Kiribati observed maternal_mortality_year2004=106 per 100,000 live births.
Kiribati observed maternal_mortality_year2005=104 per 100,000 live births.
Kiribati observed maternal_mortality_year2006=102 per 100,000 live births.
Kiribati observed maternal_mortality_year2007=101 per 100,000 live births.
Kiribati observed maternal_mortality_year2008=100 per 100,000 live births.
Kiribati observed maternal_mortality_year2009=99 per 100,000 live births.
Kiribati observed maternal_mortality_year2010=102 per 100,000 live births.
Kiribati observed maternal_mortality_year2011=98 per 100,000 live births.
Kiribati observed maternal_mortality_year2012=98 per 100,000 live births.
Kiribati observed maternal_mortality_year2013=93 per 100,000 live births.
Kiribati observed maternal_mortality_year2014=91 per 100,000 live births.
Kiribati observed maternal_mortality_year2015=90 per 100,000 live births.
Kiribati observed maternal_mortality_year2016=88 per 100,000 live births.
Kiribati observed maternal_mortality_year2017=90 per 100,000 live births.
Kiribati observed maternal_mortality_year2018=87 per 100,000 live births.
Kiribati observed maternal_mortality_year2019=89 per 100,000 live births.
Kiribati observed maternal_mortality_year2020=89 per 100,000 live births.
Kiribati observed maternal_mortality_year2021=122 per 100,000 live births.
