Record: Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) (TMN), indicator=Maternal_Mortality_Ratio
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2000=332 per 100,000 live births.
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2001=313 per 100,000 live births.
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2002=298 per 100,000 live births.
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2003=285 per 100,000 live births.
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2004=269 per 100,000 live births.
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2005=253 per 100,000 live births.
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2006=235 per 100,000 live births.
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2007=222 per 100,000 live births.
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2008=208 per 100,000 live births.
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2009=202 per 100,000 live births.
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2010=196 per 100,000 live births.
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2011=188 per 100,000 live births.
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2012=181 per 100,000 live births.
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2013=175 per 100,000 live births.
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2014=169 per 100,000 live births.
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2015=165 per 100,000 live births.
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2016=159 per 100,000 live births.
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2017=153 per 100,000 live births.
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2018=150 per 100,000 live births.
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2019=147 per 100,000 live births.
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2020=157 per 100,000 live births.
Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD) observed maternal_mortality_year2021=172 per 100,000 live births.
