Record: Marshall Islands (MHL), indicator=Maternal_Mortality_Ratio
Marshall Islands observed maternal_mortality_year2000=251 per 100,000 live births.
Marshall Islands observed maternal_mortality_year2001=231 per 100,000 live births.
Marshall Islands observed maternal_mortality_year2002=223 per 100,000 live births.
Marshall Islands observed maternal_mortality_year2003=221 per 100,000 live births.
Marshall Islands observed maternal_mortality_year2004=238 per 100,000 live births.
Marshall Islands observed maternal_mortality_year2005=234 per 100,000 live births.
Marshall Islands observed maternal_mortality_year2006=233 per 100,000 live births.
Marshall Islands observed maternal_mortality_year2007=229 per 100,000 live births.
Marshall Islands observed maternal_mortality_year2008=226 per 100,000 live births.
Marshall Islands observed maternal_mortality_year2009=224 per 100,000 live births.
Marshall Islands observed maternal_mortality_year2010=212 per 100,000 live births.
Marshall Islands observed maternal_mortality_year2011=209 per 100,000 live births.
Marshall Islands observed maternal_mortality_year2012=207 per 100,000 live births.
Marshall Islands observed maternal_mortality_year2013=201 per 100,000 live births.
Marshall Islands observed maternal_mortality_year2014=199 per 100,000 live births.
Marshall Islands observed maternal_mortality_year2015=184 per 100,000 live births.
Marshall Islands observed maternal_mortality_year2016=183 per 100,000 live births.
Marshall Islands observed maternal_mortality_year2017=179 per 100,000 live births.
Marshall Islands observed maternal_mortality_year2018=167 per 100,000 live births.
Marshall Islands observed maternal_mortality_year2019=168 per 100,000 live births.
Marshall Islands observed maternal_mortality_year2020=178 per 100,000 live births.
Marshall Islands observed maternal_mortality_year2021=206 per 100,000 live births.
