Record: Uganda (UGA), indicator=Maternal_Mortality_Ratio
Uganda observed maternal_mortality_year2000=475 per 100,000 live births.
Uganda observed maternal_mortality_year2001=440 per 100,000 live births.
Uganda observed maternal_mortality_year2002=416 per 100,000 live births.
Uganda observed maternal_mortality_year2003=395 per 100,000 live births.
Uganda observed maternal_mortality_year2004=384 per 100,000 live births.
Uganda observed maternal_mortality_year2005=417 per 100,000 live births.
Uganda observed maternal_mortality_year2006=409 per 100,000 live births.
Uganda observed maternal_mortality_year2007=345 per 100,000 live births.
Uganda observed maternal_mortality_year2008=324 per 100,000 live births.
Uganda observed maternal_mortality_year2009=322 per 100,000 live births.
Uganda observed maternal_mortality_year2010=304 per 100,000 live births.
Uganda observed maternal_mortality_year2011=295 per 100,000 live births.
Uganda observed maternal_mortality_year2012=285 per 100,000 live births.
Uganda observed maternal_mortality_year2013=308 per 100,000 live births.
Uganda observed maternal_mortality_year2014=311 per 100,000 live births.
Uganda observed maternal_mortality_year2015=299 per 100,000 live births.
Uganda observed maternal_mortality_year2016=272 per 100,000 live births.
Uganda observed maternal_mortality_year2017=246 per 100,000 live births.
Uganda observed maternal_mortality_year2018=232 per 100,000 live births.
Uganda observed maternal_mortality_year2019=219 per 100,000 live births.
Uganda observed maternal_mortality_year2020=209 per 100,000 live births.
Uganda observed maternal_mortality_year2021=216 per 100,000 live births.
