Record: Lebanon (LBN), indicator=Maternal_Mortality_Ratio
Lebanon observed maternal_mortality_year2000=24 per 100,000 live births.
Lebanon observed maternal_mortality_year2001=22 per 100,000 live births.
Lebanon observed maternal_mortality_year2002=21 per 100,000 live births.
Lebanon observed maternal_mortality_year2003=19 per 100,000 live births.
Lebanon observed maternal_mortality_year2004=18 per 100,000 live births.
Lebanon observed maternal_mortality_year2005=17 per 100,000 live births.
Lebanon observed maternal_mortality_year2006=17 per 100,000 live births.
Lebanon observed maternal_mortality_year2007=16 per 100,000 live births.
Lebanon observed maternal_mortality_year2008=15 per 100,000 live births.
Lebanon observed maternal_mortality_year2009=15 per 100,000 live births.
Lebanon observed maternal_mortality_year2010=15 per 100,000 live births.
Lebanon observed maternal_mortality_year2011=15 per 100,000 live births.
Lebanon observed maternal_mortality_year2012=14 per 100,000 live births.
Lebanon observed maternal_mortality_year2013=13 per 100,000 live births.
Lebanon observed maternal_mortality_year2014=14 per 100,000 live births.
Lebanon observed maternal_mortality_year2015=15 per 100,000 live births.
Lebanon observed maternal_mortality_year2016=15 per 100,000 live births.
Lebanon observed maternal_mortality_year2017=15 per 100,000 live births.
Lebanon observed maternal_mortality_year2018=15 per 100,000 live births.
Lebanon observed maternal_mortality_year2019=15 per 100,000 live births.
Lebanon observed maternal_mortality_year2020=27 per 100,000 live births.
Lebanon observed maternal_mortality_year2021=54 per 100,000 live births.
