Record: Bulgaria (BGR), indicator=Maternal_Mortality_Ratio
Bulgaria observed maternal_mortality_year2000=19 per 100,000 live births.
Bulgaria observed maternal_mortality_year2001=17 per 100,000 live births.
Bulgaria observed maternal_mortality_year2002=15 per 100,000 live births.
Bulgaria observed maternal_mortality_year2003=14 per 100,000 live births.
Bulgaria observed maternal_mortality_year2004=14 per 100,000 live births.
Bulgaria observed maternal_mortality_year2005=13 per 100,000 live births.
Bulgaria observed maternal_mortality_year2006=12 per 100,000 live births.
Bulgaria observed maternal_mortality_year2007=11 per 100,000 live births.
Bulgaria observed maternal_mortality_year2008=10 per 100,000 live births.
Bulgaria observed maternal_mortality_year2009=9 per 100,000 live births.
Bulgaria observed maternal_mortality_year2010=9 per 100,000 live births.
Bulgaria observed maternal_mortality_year2011=8 per 100,000 live births.
Bulgaria observed maternal_mortality_year2012=7 per 100,000 live births.
Bulgaria observed maternal_mortality_year2013=7 per 100,000 live births.
Bulgaria observed maternal_mortality_year2014=7 per 100,000 live births.
Bulgaria observed maternal_mortality_year2015=7 per 100,000 live births.
Bulgaria observed maternal_mortality_year2016=7 per 100,000 live births.
Bulgaria observed maternal_mortality_year2017=7 per 100,000 live births.
Bulgaria observed maternal_mortality_year2018=7 per 100,000 live births.
Bulgaria observed maternal_mortality_year2019=6 per 100,000 live births.
Bulgaria observed maternal_mortality_year2020=9 per 100,000 live births.
Bulgaria observed maternal_mortality_year2021=9 per 100,000 live births.
