Record: Madagascar (MDG), indicator=Maternal_Mortality_Ratio
Madagascar observed maternal_mortality_year2000=638 per 100,000 live births.
Madagascar observed maternal_mortality_year2001=611 per 100,000 live births.
Madagascar observed maternal_mortality_year2002=593 per 100,000 live births.
Madagascar observed maternal_mortality_year2003=571 per 100,000 live births.
Madagascar observed maternal_mortality_year2004=555 per 100,000 live births.
Madagascar observed maternal_mortality_year2005=540 per 100,000 live births.
Madagascar observed maternal_mortality_year2006=528 per 100,000 live births.
Madagascar observed maternal_mortality_year2007=522 per 100,000 live births.
Madagascar observed maternal_mortality_year2008=510 per 100,000 live births.
Madagascar observed maternal_mortality_year2009=507 per 100,000 live births.
Madagascar observed maternal_mortality_year2010=500 per 100,000 live births.
Madagascar observed maternal_mortality_year2011=492 per 100,000 live births.
Madagascar observed maternal_mortality_year2012=487 per 100,000 live births.
Madagascar observed maternal_mortality_year2013=481 per 100,000 live births.
Madagascar observed maternal_mortality_year2014=477 per 100,000 live births.
Madagascar observed maternal_mortality_year2015=474 per 100,000 live births.
Madagascar observed maternal_mortality_year2016=470 per 100,000 live births.
Madagascar observed maternal_mortality_year2017=469 per 100,000 live births.
Madagascar observed maternal_mortality_year2018=466 per 100,000 live births.
Madagascar observed maternal_mortality_year2019=462 per 100,000 live births.
Madagascar observed maternal_mortality_year2020=447 per 100,000 live births.
Madagascar observed maternal_mortality_year2021=467 per 100,000 live births.
