Record: Niger (NER), indicator=Maternal_Mortality_Ratio
Niger observed maternal_mortality_year2000=845 per 100,000 live births.
Niger observed maternal_mortality_year2001=843 per 100,000 live births.
Niger observed maternal_mortality_year2002=835 per 100,000 live births.
Niger observed maternal_mortality_year2003=813 per 100,000 live births.
Niger observed maternal_mortality_year2004=790 per 100,000 live births.
Niger observed maternal_mortality_year2005=764 per 100,000 live births.
Niger observed maternal_mortality_year2006=737 per 100,000 live births.
Niger observed maternal_mortality_year2007=704 per 100,000 live births.
Niger observed maternal_mortality_year2008=669 per 100,000 live births.
Niger observed maternal_mortality_year2009=647 per 100,000 live births.
Niger observed maternal_mortality_year2010=621 per 100,000 live births.
Niger observed maternal_mortality_year2011=585 per 100,000 live births.
Niger observed maternal_mortality_year2012=554 per 100,000 live births.
Niger observed maternal_mortality_year2013=526 per 100,000 live births.
Niger observed maternal_mortality_year2014=497 per 100,000 live births.
Niger observed maternal_mortality_year2015=473 per 100,000 live births.
Niger observed maternal_mortality_year2016=450 per 100,000 live births.
Niger observed maternal_mortality_year2017=433 per 100,000 live births.
Niger observed maternal_mortality_year2018=420 per 100,000 live births.
Niger observed maternal_mortality_year2019=406 per 100,000 live births.
Niger observed maternal_mortality_year2020=388 per 100,000 live births.
Niger observed maternal_mortality_year2021=396 per 100,000 live births.
